name,address,town,district,city,state,postal code,telephone,email,remarks
Pusarla And Co,"12-8-62, Gandhi Market",,VISAKHAPATNAM,ANAKAPALLE-AP,ANDHRA PRADESH,531001,919704455556,sakethpusarla@yahoo.com,"12-8-62, Gandhi Market,"
Sivaram Electricals And Plumbi,"5/24, Main Road,Nr.State Bank of India",Yellamanchili,VISAKHAPATNAM,ANAKAPALLE-AP,ANDHRA PRADESH,531055,919951826585,ravichandra.uv@gmail.com,"5/24, Main Road,Nr.State Bank of India,Yellamanchili"
Sri Ganesh Sai Bhavani Enterpr,"6-3/4, Sri Ganga Vaibhav Niavs","Nr.SK Park, Velupula Veedhi, Anakapalle",VISAKHAPATNAM,ANAKAPALLE-AP,ANDHRA PRADESH,531001,919705900178,sriganeshsaibhavanienterprises@gmail.com,"6-3/4, Sri Ganga Vaibhav Niavs,Nr.SK Park, Velupula Veedhi, Anakapalle"
Mahadev Electricals And Hardwa,"8-1-122/1, Near State Bank of India, Main Road",Amadalavalasa,SRIKAKULAM,AMADALAVALASA-AP,ANDHRA PRADESH,532185,+919581864070,mukeshsamta7071@gmail.com,"8-1-122/1, Near State Bank of India, Main Road,Amadalavalasa"
Sri Rama Krishna Traders,"92/2,palakonda Road,ragolu,srikakulam",,SRIKAKULAM,AMADALAVALASA-AP,ANDHRA PRADESH,532484,9989592555,Balagapandurangarao@gmail.com,"92/2,palakonda Road,ragolu,srikakulam,"
Lakshmi Ranga Electricals,"18/162,Near Triveni Talkies","Tilak Road,",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,919704037847,Lakshmiranga77@gmail.com,"18/162,Near Triveni Talkies,Tilak Road,"
Lakshmi Ranga Electricals,"18/162,Near Triveni Talkies","Tilak Road,",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,919704037847,Lakshmiranga77@gmail.com,"18/162,Near Triveni Talkies,Tilak Road,"
Sri Lakshmi Narasimha Agencies,"13-2-388/4, Flat No.4,Rajahamsa Great Empire","IstFlr,B/HChandraHospital,Srinivasanagar",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,919849836071,karanamteja@gmail.com,"13-2-388/4, Flat No.4,Rajahamsa Great Empire,IstFlr,B/HChandraHospital,Srinivasanagar"
Sri Venkata Maruthi Electrical,"Sanitary Wares, 28/68, Subhash Road",Old Town,ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,+919440384156,jana74.atp@gmail.com,"Sanitary Wares, 28/68, Subhash Road,Old Town"
Mallikarjuna Electricals,"Shop No 2, Var Residency, Ground Floor, Near Hdfc","80ft Road, Ramnagar, Ananthaour",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,8433543477,Mallikarjunaelectricals.2004@gmail.com,"Shop No 2, Var Residency, Ground Floor, Near Hdfc,80ft Road, Ramnagar, Ananthaour"
Sai Teja Electricals,"7/754, N.S.C. Bose Road",Near RKT Petrol Bunk,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,919246422115,saitejaelectricals@yahoo.com,"7/754, N.S.C. Bose Road,Near RKT Petrol Bunk"
Sai Teja Electricals,"7/754, N.S.C. Bose Road",Near RKT Petrol Bunk,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,919246422115,saitejaelectricals@yahoo.com,"7/754, N.S.C. Bose Road,Near RKT Petrol Bunk"
Simhapuri Electrical Corporati,"Shop No. 18 and 19, G.V.Sr. Complex,",,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,919440722355,secorpnlr@gmail.com,"Shop No. 18 and 19, G.V.Sr. Complex,,"
Simhapuri Electrical Corporati,"Shop No. 18 and 19, G.V.Sr. Complex,",,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,919440722355,secorpnlr@gmail.com,"Shop No. 18 and 19, G.V.Sr. Complex,,"
S S V Enterprses,"Devireddyvaristreet, 14/205,Koramvaristreet","Near Kapustreet,Sri Potti Sriramulu",NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,9494300782,pamidivikram99@gmail.com,"Devireddyvaristreet, 14/205,Koramvaristreet,Near Kapustreet,Sri Potti Sriramulu"
Sri Sainath Tiles & Electrical,"5/79/12/13,opp Vinayaka Temple,canal Road","Attili,west Godavari, Andhra Pradesh",WEST GODAVARI,ATTILI-AP,ANDHRA PRADESH,534134,9640888996,Avpbabu6@gmail.com,"5/79/12/13,opp Vinayaka Temple,canal Road,Attili,west Godavari, Andhra Pradesh"
Vijayalakshmi Electricals,"3/96, Main Road",Agiripalli,KRISHNA,AUKIRIPALLI-AP,ANDHRA PRADESH,521211,918522804803,Vijayalakshmielectricalsagp17@gmail.com,"3/96, Main Road,Agiripalli"
Ganesh Electrical And Gl.Store,"Ganesh Complex, Cinema Road","Amalapuram,",EAST GODAVARI,AMALAPURAM-AP,ANDHRA PRADESH,533201,919440321117,jeevanb6b6@rediffmail.com,"Ganesh Complex, Cinema Road,Amalapuram,"
Sri Aiswarya Agencies,"DN-6-71 Indupalli,Amalapuram Mandal",Indupalli,EAST GODAVARI,AMALAPURAM-AP,ANDHRA PRADESH,533201,919491627593,jyothiganesh99@gmail.com,"DN-6-71 Indupalli,Amalapuram Mandal,Indupalli"
