name,address,town,district,city,state,postal code,telephone,email,remarks
Mahadev Electricals And Hardwa,"8-1-122/1, Near State Bank of India, Main Road",Amadalavalasa,SRIKAKULAM,AMADALAVALASA-AP,ANDHRA PRADESH,532185,9.19582E+11,mukeshsamta7071@gmail.com,"8-1-122/1, Near State Bank of India, Main Road,Amadalavalasa"
Sri Rama Krishna Traders,"92/2,palakonda Road,ragolu,srikakulam",,SRIKAKULAM,AMADALAVALASA-AP,ANDHRA PRADESH,532484,9989592555,Balagapandurangarao@gmail.com,"92/2,palakonda Road,ragolu,srikakulam,"
Pusarla And Co,"12-8-62, Gandhi Market",,VISAKHAPATNAM,ANAKAPALLE-AP,ANDHRA PRADESH,531001,9.19704E+11,sakethpusarla@yahoo.com,"12-8-62, Gandhi Market,"
Sivaram Electricals And Plumbi,"5/24, Main Road,Nr.State Bank of India",Yellamanchili,VISAKHAPATNAM,ANAKAPALLE-AP,ANDHRA PRADESH,531055,9.19952E+11,ravichandra.uv@gmail.com,"5/24, Main Road,Nr.State Bank of India,Yellamanchili"
Sri Ganesh Sai Bhavani Enterpr,"6-3/4, Sri Ganga Vaibhav Niavs","Nr.SK Park, Velupula Veedhi, Anakapalle",VISAKHAPATNAM,ANAKAPALLE-AP,ANDHRA PRADESH,531001,9.19706E+11,sriganeshsaibhavanienterprises@gmail.com,"6-3/4, Sri Ganga Vaibhav Niavs,Nr.SK Park, Velupula Veedhi, Anakapalle"
Aditya Sravani Agencies,"D.No.15/144,Chitada Dibba,Mr.RTC Complex",S. Kota,VISAKHAPATNAM,ANANTHAGIRI-AP,ANDHRA PRADESH,535145,9.19491E+11,adityasravaniagencies@gmail.com,"D.No.15/144,Chitada Dibba,Mr.RTC Complex,S. Kota"
Ganesh Electrical And Gl.Store,"Ganesh Complex, Cinema Road","Amalapuram,",EAST GODAVARI,AMALAPURAM-AP,ANDHRA PRADESH,533201,9.1944E+11,jeevanb6b6@rediffmail.com,"Ganesh Complex, Cinema Road,Amalapuram,"
Sri Aiswarya Agencies,"DN-6-71 Indupalli,Amalapuram Mandal",Indupalli,EAST GODAVARI,AMALAPURAM-AP,ANDHRA PRADESH,533201,9.19492E+11,jyothiganesh99@gmail.com,"DN-6-71 Indupalli,Amalapuram Mandal,Indupalli"
Lakshmi Ranga Electricals,"18/162,Near Triveni Talkies","Tilak Road,",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,9.19704E+11,Lakshmiranga77@gmail.com,"18/162,Near Triveni Talkies,Tilak Road,"
Lakshmi Ranga Electricals,"18/162,Near Triveni Talkies","Tilak Road,",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,9.19704E+11,Lakshmiranga77@gmail.com,"18/162,Near Triveni Talkies,Tilak Road,"
Sri Lakshmi Narasimha Agencies,"13-2-388/4, Flat No.4,Rajahamsa Great Empire","IstFlr,B/HChandraHospital,Srinivasanagar",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,9.1985E+11,karanamteja@gmail.com,"13-2-388/4, Flat No.4,Rajahamsa Great Empire,IstFlr,B/HChandraHospital,Srinivasanagar"
Sri Venkata Maruthi Electrical,"Sanitary Wares, 28/68, Subhash Road",Old Town,ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,9.1944E+11,jana74.atp@gmail.com,"Sanitary Wares, 28/68, Subhash Road,Old Town"
Mallikarjuna Electricals,"Shop No 2, Var Residency, Ground Floor, Near Hdfc","80ft Road, Ramnagar, Ananthaour",ANANTAPUR,ANANTAPUR-AP,ANDHRA PRADESH,515001,8433543477,Mallikarjunaelectricals.2004@gmail.com,"Shop No 2, Var Residency, Ground Floor, Near Hdfc,80ft Road, Ramnagar, Ananthaour"
Sri Sainath Tiles & Electrical,"5/79/12/13,opp Vinayaka Temple,canal Road","Attili,west Godavari, Andhra Pradesh",WEST GODAVARI,ATTILI-AP,ANDHRA PRADESH,534134,9640888996,Avpbabu6@gmail.com,"5/79/12/13,opp Vinayaka Temple,canal Road,Attili,west Godavari, Andhra Pradesh"
Sai Teja Electricals,"7/754, N.S.C. Bose Road",Near RKT Petrol Bunk,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,9.19246E+11,saitejaelectricals@yahoo.com,"7/754, N.S.C. Bose Road,Near RKT Petrol Bunk"
Sai Teja Electricals,"7/754, N.S.C. Bose Road",Near RKT Petrol Bunk,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,9.19246E+11,saitejaelectricals@yahoo.com,"7/754, N.S.C. Bose Road,Near RKT Petrol Bunk"
Simhapuri Electrical Corporati,"Shop No. 18 and 19, G.V.Sr. Complex,",,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,9.19441E+11,secorpnlr@gmail.com,"Shop No. 18 and 19, G.V.Sr. Complex,,"
Simhapuri Electrical Corporati,"Shop No. 18 and 19, G.V.Sr. Complex,",,NELLORE,ATMAKUR-AP,ANDHRA PRADESH,524001,9.19441E+11,secorpnlr@gmail.com,"Shop No. 18 and 19, G.V.Sr. Complex,,"
