state,city
ANDHRA PRADESH,AKIVIDU -AP
ANDHRA PRADESH,ALLAGADDA-AP
ANDHRA PRADESH,AMADALAVALASA-AP
ANDHRA PRADESH,AMALAPURAM-AP
ANDHRA PRADESH,AMBAJIPETA-AP
ANDHRA PRADESH,ANAKAPALLE-AP
ANDHRA PRADESH,ANANTAPUR-AP
ANDHRA PRADESH,ANANTHAGIRI-AP
ANDHRA PRADESH,ANAPARTHY-AP
ANDHRA PRADESH,ATMAKUR-AP
ANDHRA PRADESH,ATTILI-AP
ANDHRA PRADESH,AUKIRIPALLI-AP
ANDHRA PRADESH,BADVEL-AP
ANDHRA PRADESH,BANAGANAPALLE-AP
ANDHRA PRADESH,BANGARUPALEM-AP
ANDHRA PRADESH,BETHAMCHERLA-AP
ANDHRA PRADESH,BHAKARAPET-AP
ANDHRA PRADESH,BHAMINI-AP
ANDHRA PRADESH,BHEEMUNIPATNAM-AP
ANDHRA PRADESH,BHIMAVARAM-AP
ANDHRA PRADESH,BIKKAVOLU-AP
ANDHRA PRADESH,BOBBILI-AP
ANDHRA PRADESH,BOMMANAHAL-AP
ANDHRA PRADESH,BONDAPALLI-AP
ANDHRA PRADESH,CHAKRAYAPET-AP
ANDHRA PRADESH,CHILAKALURIPET-AP
ANDHRA PRADESH,CHINTALAPUDI-AP
ANDHRA PRADESH,CHIPURUPALLE-AP
ANDHRA PRADESH,CHIRALA-AP
ANDHRA PRADESH,CHITTOOR-AP
ANDHRA PRADESH,CHODAVARAM-AP
ANDHRA PRADESH,CUDDAPAH-AP
ANDHRA PRADESH,DACHEPALLE-AP
ANDHRA PRADESH,DHARMAVARAM-AP
ANDHRA PRADESH,DHONE-AP
ANDHRA PRADESH,DORAVARISATRAM-AP
ANDHRA PRADESH,EAST GODAVARI-AP
ANDHRA PRADESH,ELURU-AP
ANDHRA PRADESH,ETCHERLA-AP
ANDHRA PRADESH,GANAPAVARAM-AP
ANDHRA PRADESH,GIDDALUR-AP
ANDHRA PRADESH,GOOTY-AP
ANDHRA PRADESH,GORANTLA-AP
ANDHRA PRADESH,GUDIVADA-AP
ANDHRA PRADESH,GUDUR-AP
ANDHRA PRADESH,GUMMALAKSHMIPURAM-AP
ANDHRA PRADESH,GUNTAKAL-AP
ANDHRA PRADESH,GUNTUR-AP
ANDHRA PRADESH,GURLA-AP
ANDHRA PRADESH,HINDUPUR-AP
ANDHRA PRADESH,ICHCHAPURAM-AP
ANDHRA PRADESH,J.R.GUDEM-AP
ANDHRA PRADESH,JAMMALAMADUGU-AP
ANDHRA PRADESH,KADIRI-AP
ANDHRA PRADESH,KAJULURU-AP
ANDHRA PRADESH,KAKINADA-AP
ANDHRA PRADESH,KALIKIRI-AP
ANDHRA PRADESH,KALLA -AP
ANDHRA PRADESH,KALLUR-AP
ANDHRA PRADESH,KALYANDURG-AP
ANDHRA PRADESH,KANCHILI MANDAL-AP
ANDHRA PRADESH,KANDUKUR-AP
ANDHRA PRADESH,KANIGIRI-AP
ANDHRA PRADESH,KAPILESWARAPURAM-AP
ANDHRA PRADESH,KAREMPUDI-AP
ANDHRA PRADESH,KARLAPALEM-AP
ANDHRA PRADESH,KAVALI-AP
ANDHRA PRADESH,KODUR-AP
ANDHRA PRADESH,KOILKUNTLA-AP
ANDHRA PRADESH,KOTABOMMALI-AP
ANDHRA PRADESH,KOTHAVALASA-AP
ANDHRA PRADESH,KOVVUR-AP
ANDHRA PRADESH,KOYYALAGUDEM-AP
ANDHRA PRADESH,KRISHNA-AP
ANDHRA PRADESH,KURNOOL-AP
ANDHRA PRADESH,LAVERU-AP
ANDHRA PRADESH,MACHERLA-AP
ANDHRA PRADESH,MACHILIPATNAM-AP
ANDHRA PRADESH,MADANAPALLE-AP
ANDHRA PRADESH,MALIKIPURAM-AP
