state,name,address,number,email
Andaman And Nicobar,Standard Hardware& Auto Suppliers.,"Aberdeen Bazar,Port Blair,Port Blair,South Andaman,Andaman And Nico.Is.",3192233016,arren.50@gmail.com
Andhra Pradesh,Vani Agencies,"Chinta Vari Street, Anakapalli","9494181819
9494181819
9494181819",vaniradiohome@gmail.com
Andhra Pradesh,Sri  Jyothi Electricals,"Market Road, Dhone","9440079956
9440079956
9440079956",jyothielectricals666@gmail.com
Andhra Pradesh,Sri Sai Agencies,"Market Road,Ganapavaram","9491421155
9491421155
9491421155",srisaiagenciesgnp@gmail.com
Andhra Pradesh,Sri Latha Electricals,"Sankinatepalli Road, Malkipuram","9951368868
9951368868
9951368868",srinuee1@gmail.com
Andhra Pradesh,Santosh Durga Electricals,"Market Road, Palakonda","9440001251
9440001251
9440001251",sivabala.co@gmail.com
Andhra Pradesh,Sri Rohini Agencies,"Market Road, Ponnur","8985562063
8985562063
8985562063",srimaharajaele.pnr@gmail.com
Andhra Pradesh,Dsm Enterprises,"Sonovision Backside, Kotipallibusstand,Rajahmundry ","9703147777
9703147777
9703147777",dsmenterprieserjy@gmail.com
Andhra Pradesh,Sri Maruthi Electricals,"Market Road, Muralikrishna Complx, Ravulapalem","9494336666
9494336666
9494336666",srinivasreddykarris55710@gmail.com
Andhra Pradesh,Datta Pumps  And Spares,"Main Road, Rayadurg","9440781322
9440781322
9440781322",gounianandreddy23@gmail.com
Andhra Pradesh,Sri Krishna Steels,"Oppsite Railway Station, Repalli","9290081569
9290081569
9290081569",srikrishna_steels@yahoo.com
Andhra Pradesh,Ramana Agencies,"Main Road, Thadipatri","9849297183
9849297183
9849297183",ramanaagenciescg@gmail.com
Andhra Pradesh,Sri Sai Manikanta Distributors,"Yaddapalli Road, Angalakuduru,Tenali","9573377122
9573377122
9573377122",saimanikantadistributors@gmail.com
Andhra Pradesh,Sree Pavan Enterprises,"Main Road, Yammiganur","9703255853
9703255853
9703255853",krishna.lava48@gmail.com
Arunachal Pradesh,Raling Enterprises,"E-025,Mg Road,,Pasighat",9612342215,ralingenterprises@gmail.com
Arunachal Pradesh,T T Enterprise,Pasighat,8730808261,gunjantiwari100@gmail.com
Arunachal Pradesh,Papum Pare Enterprises,"Super Market,Dist-Papum Pare, State-Arunachal Pradesh,Town - Naharlagun",9863313632,No data
Arunachal Pradesh,Sab Trading Agency,Naharlagun,8881166000,vivekgupta438@gmail.com
Assam,Anima Agencies,Badarpur,9435079126,rajibbhadra75@gmail.com
Assam,S.S. Hardware & Electricals,"Na,Daranga Mela Bazar,Daranga",3624284383,diyesh.vaishnav572@gmail.com
Assam,"Geetanjali,",Barpeta,9435123084,geetanjalibprd73@gmail.com
Assam,Kamal Electricals,Barpeta,8876485945,ratulds112@gmail.com
Assam,Nataraj Electricals,"Bus Stand, Barpeta Road,State-Assam, Dist- Barpeta,",9435120711,saNjbhomick12123@gmail.com
Assam,Patwary Sales & Services,Biwanath Chariali,7086812101,patwarysalesandservices.2017@gamil.com
Assam,Ambica Agency,Bokakhat,9435154102,No data
Assam,Choudhury Commercials,Bongaigaon,3664223361,choudhury.comm@gmail.com
Assam,Sree Hanuman Electricals,Bongaigaon,9854058075,shreehanumanelectricals@gmail.com
Assam,Mezda Electronics Hub,Silchar,9435070955,mezda9@gmail.com
Assam,Padmawati Enterprises,Cachar,9435071207,padmawati12@gmail.com
