state,name,address
Andaman And Nicobar,Standard Hardware& Auto Suppliers.,"Aberdeen Bazar,Port Blair,Port Blair,South Andaman,Andaman And Nico.Is."
Andhra Pradesh,Vani Agencies,"Chinta Vari Street, Anakapalli"
Andhra Pradesh,Sri  Jyothi Electricals,"Market Road, Dhone"
Andhra Pradesh,Sri Sai Agencies,"Market Road,Ganapavaram"
Andhra Pradesh,Sri Latha Electricals,"Sankinatepalli Road, Malkipuram"
Andhra Pradesh,Santosh Durga Electricals,"Market Road, Palakonda"
Andhra Pradesh,Sri Rohini Agencies,"Market Road, Ponnur"
Andhra Pradesh,Dsm Enterprises,"Sonovision Backside, Kotipallibusstand,Rajahmundry "
Andhra Pradesh,Sri Maruthi Electricals,"Market Road, Muralikrishna Complx, Ravulapalem"
Andhra Pradesh,Datta Pumps  And Spares,"Main Road, Rayadurg"
Andhra Pradesh,Sri Krishna Steels,"Oppsite Railway Station, Repalli"
Andhra Pradesh,Ramana Agencies,"Main Road, Thadipatri"
Andhra Pradesh,Sri Sai Manikanta Distributors,"Yaddapalli Road, Angalakuduru,Tenali"
Andhra Pradesh,Sree Pavan Enterprises,"Main Road, Yammiganur"
Arunachal Pradesh,Raling Enterprises,"E-025,Mg Road,,Pasighat"
Arunachal Pradesh,T T Enterprise,Pasighat
Arunachal Pradesh,Papum Pare Enterprises,"Super Market,Dist-Papum Pare, State-Arunachal Pradesh,Town - Naharlagun"
Arunachal Pradesh,Sab Trading Agency,Naharlagun
Assam,Anima Agencies,Badarpur
Assam,S.S. Hardware & Electricals,"Na,Daranga Mela Bazar,Daranga"
Assam,"Geetanjali,",Barpeta
Assam,Kamal Electricals,Barpeta
Assam,Nataraj Electricals,"Bus Stand, Barpeta Road,State-Assam, Dist- Barpeta,"
Assam,Patwary Sales & Services,Biwanath Chariali
Assam,Ambica Agency,Bokakhat
Assam,Choudhury Commercials,Bongaigaon
Assam,Sree Hanuman Electricals,Bongaigaon
Assam,Mezda Electronics Hub,Silchar
Assam,Padmawati Enterprises,Cachar
Assam,Rishita Electricals,Silchar
Assam,Satya Narayan Saha,"Bazar Road, Riaz Market, Ward N. 3,Mangaldoi ,Dist -Darrang,"
Assam,L.K. Enterprises,"Hospital Road, Dist - Sonitpur, State -Assam"
Assam,Tribeni Enterprise,Dhubri
Assam,Sri Krishna Ply And Electricals,Dhupdhara
Assam,Electrical Enterprise,"H.S Road,Dibrugarh,"
Assam,Preety Electric,"H.S. Road,Dibrugarh,"
Assam,Salasar Distributors,Dibrugarh
Assam,K.K. Electricals,"Dist - Dibrugarh,State - Assam"
Assam,Nakoda Electronic & Electricals,Agia Road
Assam,Bawri Brothers,Dhodar Ali
Assam,Ganpati Trade & Electricals,Golaghat
Assam,Khetan Hardware & Electricals,"Dist - Golaghat,State - Assam"
Assam,Anurag Traders,Guwahati
Assam,Archana Machinery Stores,Murlidhar Sharma Road Dist - Kamrup
Assam,Assam Paints House,"S.J. Road Athgaon, Dist - Kamrup,State - Assam"
Assam,Core Entrade India Private Limited,"S.J. Road Athgaon, Dist - Kamrup,State - Assam"
Assam,Eastern Trade & Agencies,"Khemka Tea Ware House,Bhangagarh,"
Assam,Fancy Electricals,Guwahati
Assam,Gopal Trade Agencies,Guwahati
Assam,Jyoti Electricals,"Achyut Square 1St Floor,2 N Railway Gate,Ram Mandir Lane"
Assam,K.L.Electricals,"Brahma Samaj Complex,,S.S.Road, Lakhtokia,,"
Assam,Kangaroo Hospitality & Care,Guwahati
Assam,Laxmi Hightension Systems,"Ram Mandir Lane.Rly Gate N 2,Lakhtokia,"
Assam,Lights And Glow,"Ram Mandir Lane, Rly Gate N. 2,Lakhtokia,"
Assam,Maa Electricals,"Ram Mandir Lane.Rly Gate N 2,Lakhtokia,Dist - Kamrup,State - Assam,"
Assam,Madan Electric & Trading Co.,Guwahati
Assam,Manas Enterprises,"Ganeshguri Charali State- Assam ,Dist- Kamrup"
Assam,Mukta Electro Trading,Guwahati
Assam,N E Electrical & Appliances,Guwahati
Assam,Prem Electricals,Lakhtokia
Assam,R.K.Electronics,Guwahati
Assam,Radio Electric Stores,Guwahati
Assam,Mangalam Distributors,A.T. Road
Assam,Nandlal Brothers & Co.,"K.B.Road State- Assam, Dist- Jorhat"
Assam,Sharma Hardware Store,"Dtc 16,M.G. Road,Diphu"
Assam,Daulatram Ramkumar,Station Road Karimganj
Assam,Sreema Trading,Badarpur
Assam,Khan Hardware,"Krishnai, Near Sbi Bank"
