Link text,URLs
"

",https://www.merriam-webster.com/
,https://www.merriam-webster.com/settings
"

",https://www.merriam-webster.com/setting/
,https://www.merriam-webster.com/setting/settings
GAMES & QUIZZES,https://www.merriam-webster.com/setting/word-games
THESAURUS,https://www.merriam-webster.com/setting/thesaurus
WORD OF THE DAY,https://www.merriam-webster.com/setting/word-of-the-day
FEATURES,https://www.merriam-webster.com/setting/words-at-play
Buying Guide ,https://www.merriam-webster.com/setting/theusage
LOG IN,https://www.merriam-webster.com/setting/login
REGISTER,https://www.merriam-webster.com/setting/register
"



",https://www.merriam-webster.com/setting/settings
settings,https://www.merriam-webster.com/setting/settings
log out,https://www.merriam-webster.com/setting/logout
"
MY WORDSMY WORDS
",https://www.merriam-webster.com/setting/saved-words
"
view recents
",https://www.merriam-webster.com/setting/recents
"
Log in
",https://www.merriam-webster.com/setting/login
"
Sign Up
",https://www.merriam-webster.com/setting/register
,https://www.merriam-webster.com/setting/settings
Games & Quizzes,https://www.merriam-webster.com/setting/word-games
Thesaurus,https://www.merriam-webster.com/setting/thesaurus
Word of the Day,https://www.merriam-webster.com/setting/word-of-the-day
Features,https://www.merriam-webster.com/setting/words-at-play
Buying Guide ,https://www.merriam-webster.com/setting/theusage
"



My WordsMy Words
",https://www.merriam-webster.com/setting/saved-words
"



                  View Recents
              ",https://www.merriam-webster.com/setting/recents
"



              Account
              ",https://www.merriam-webster.com/setting/settings
"
Log Out
",https://www.merriam-webster.com/setting/logout
REGISTER >,https://www.merriam-webster.com/setting/register
Forgot password?,https://www.merriam-webster.com/setting/forgot-password
Merriam Webster,https://www.merriam-webster.com/setting/
Browse the Dictionary:,https://www.merriam-webster.com/setting/browse/dictionary/a
a,https://www.merriam-webster.com/setting/browse/dictionary/a
b,https://www.merriam-webster.com/setting/browse/dictionary/b
c,https://www.merriam-webster.com/setting/browse/dictionary/c
d,https://www.merriam-webster.com/setting/browse/dictionary/d
e,https://www.merriam-webster.com/setting/browse/dictionary/e
f,https://www.merriam-webster.com/setting/browse/dictionary/f
g,https://www.merriam-webster.com/setting/browse/dictionary/g
h,https://www.merriam-webster.com/setting/browse/dictionary/h
i,https://www.merriam-webster.com/setting/browse/dictionary/i
j,https://www.merriam-webster.com/setting/browse/dictionary/j
k,https://www.merriam-webster.com/setting/browse/dictionary/k
l,https://www.merriam-webster.com/setting/browse/dictionary/l
m,https://www.merriam-webster.com/setting/browse/dictionary/m
n,https://www.merriam-webster.com/setting/browse/dictionary/n
o,https://www.merriam-webster.com/setting/browse/dictionary/o
p,https://www.merriam-webster.com/setting/browse/dictionary/p
q,https://www.merriam-webster.com/setting/browse/dictionary/q
r,https://www.merriam-webster.com/setting/browse/dictionary/r
s,https://www.merriam-webster.com/setting/browse/dictionary/s
t,https://www.merriam-webster.com/setting/browse/dictionary/t
u,https://www.merriam-webster.com/setting/browse/dictionary/u
v,https://www.merriam-webster.com/setting/browse/dictionary/v
w,https://www.merriam-webster.com/setting/browse/dictionary/w
x,https://www.merriam-webster.com/setting/browse/dictionary/x
