Location Name,Area,Country,URL,Type of Beach,Lifeguard Service,Dogs Friendly Beach?,Activities,Facilities,Nearest Town,Postcode,OS Grid Ref,Water Quality
Gyllyngvase,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/gyllyngvase.htm,Sandy,Yes,Dogs are banned Easter Day - 1st Oct between 10am and 6pm,"Kayaking/canoeing
Diving & snorkelling
Good fishing
Sailing
Swimming/bathing
Surfing
Wind surfing",Shop,Falmouth,TR11 4PA,SW 8088 3167,5 star
Carbis Bay Beach,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/carbis-bay-beach.htm,Sandy,Yes,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),"Kayaking/canoeing
Good fishing
Swimming/bathing
Surfing",Beach hut hire,St Ives,TR26 2NW,SW 5287 3883,5 star
Porthmeor St Ives,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/porthmeor-st-ives.htm,Sandy,Yes,Dogs are banned from Easter Day until 1st October.,Surfing,Slipway,St Ives,TR26 1JZ,SW 5169 4088,5 star
Portreath,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/portreath.htm,Sand & shingle,Yes,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),Surfing,Shop,Camborne,TR16 4NR,SW 6537 4544,5 star
Challaborough,,England,https://www.thebeachguide.co.uk/south-west-england/devon/challaborough.htm,Sand & rock,Yes,Beach is not open for dogs between 1st May and 30th September,Surfing,Shop,Kingsbridge,TQ7 4HZ,SX 6488 4474,5 star
Porthtowan,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/porthtowan.htm,Sandy,Yes,Dogs are banned between Easter and October.,"Kayaking/canoeing
Good fishing
Swimming/bathing
Surfing",Shop,Redruth,TR4 8AW,SW 6915 4803,5 star
Blackpool Sands,,England,https://www.thebeachguide.co.uk/south-west-england/devon/blackpool-sands.htm,Sand & shingle,Yes,Dogs are banned Easter - November.,"Kayaking/canoeing
Diving & snorkelling
Swimming/bathing",Shop,Dartmouth,TQ6 0RG,SX 8558 4778,5 star
Breakwater Beach,,England,https://www.thebeachguide.co.uk/south-west-england/devon/breakwater-beach.htm,Sand & shingle,Yes,Dogs are banned during summer season (May - Sept).,Slipway,Slipway,Paignton,SX 9317 5664,SX 9317 5664,no data
Broadsands Beach,,England,https://www.thebeachguide.co.uk/south-west-england/devon/broadsands-beach.htm,Sandy,No,Dogs are banned between May - September.,"Sailing
Swimming/bathing",Promenade,Paignton,TQ4 6HL,SX 8961 5747,5 star
Great Western Newquay,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/great-western-newquay.htm,Sandy,Yes,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),"Kayaking/canoeing
Swimming/bathing
Surfing",Slipway,Newquay,TR7 2NE,SW 8146 6194,5 star
Preston Sands (Paignton),,England,https://www.thebeachguide.co.uk/south-west-england/devon/preston-sands-paignton.htm,Sandy,No,Dogs are not allowed on the beach between 1 May and 30 September,Swimming/bathing,Deck chair hire,Paignton,TQ3 2NU,SX 8964 6175,5 star
Torre Abbey,,England,https://www.thebeachguide.co.uk/south-west-england/devon/torre-abbey.htm,Sandy,No,Dogs are banned from the beach during the summer season.,Swimming/bathing,Promenade,Torquay,TQ2 5DG,SX 9109 6365,3 star
Oddicombe Beach,,England,https://www.thebeachguide.co.uk/south-west-england/devon/oddicombe-beach.htm,Shingle,No,Dogs are not allowed on Oddicombe between 1 May and 30 September,Sailing,Promenade,Torquay,TQ1 3LB,SX 9263 6588,5 star
Trevone Bay,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/trevone-bay.htm,Sandy,Yes,Dogs are not allowed on the beach from Easter to the end of September.,Slipway,Slipway,Padstow,PL28 8HL,SW 8916 7599,5 star
Teignmouth,,England,https://www.thebeachguide.co.uk/south-west-england/devon/holcombe-teignmouth.htm,Sand & shingle,No,Dogs allowed,"Good fishing
Swimming/bathing","Cafe/restaurant
Toilets",Teignmouth,EX7 0JL,SX 9560 7458,4 star
Polzeath,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/polzeath.htm,Hayle Bay,Sandy,Yes,Surfing,Shop,Wadebridge,PL27 6UE,SW 9367 7913,5 star
Dawlish Warren,,England,https://www.thebeachguide.co.uk/south-west-england/devon/dawlish-warren.htm,Sand & shingle,Yes,Dogs are banned from 1st April - 30th September.,Swimming/bathing,Slipway,Dawlish,EX7 0NF,SX 9828 7875,5 star
Sandy Bay,,England,https://www.thebeachguide.co.uk/south-west-england/devon/sandy-bay.htm,Sandy,Yes,Dogs are not allowed on the beach between April 1st and October 31st,"Swimming/bathing
Rock pooling","Cafe/restaurant
Toilets",Exmouth,EX8 5BT,SY 0319 7974,3 star
Weymouth,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/weymouth-town,,,,,,,,,
Swanage,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/south-swanage.htm,Sand and shingle,No,Dogs allowed,"Kayaking/canoeing
Diving & snorkelling
Good fishing",Promenade,Swanage,BH19 1BS,SZ 0340 7868,no data
Exmouth,,England,https://www.thebeachguide.co.uk/south-west-england/devon/exmouth.htm,Sandy,Yes,Dog bins are provided and dogs are welcome all year on parts of the beach and on the main beach from October to the end of April.,"Kayaking/canoeing
Good fishing
Jet-skiing
Sailing
Swimming/bathing
Surfing
Wind surfing",Slipway,Exmouth,EX8 2DB,SY 0106 7989,3 star
Sidmouth,,England,https://www.thebeachguide.co.uk/south-west-england/devon/jacobs-ladder-sidmouth.htm,Pebble,No,Dog bins are provided. and dogs are welcome all year on part of the beach and from October to the end of April on the main beach.,Swimming/bathing,Disabled facilities,Sidmouth,EX10 8QL,SY 1199 8689,5 star
Shore Road - Sandbanks Poole,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/shore-road-sandbanks.htm,Sandy,Yes,Dogs not allowed on main beach from 1st May - 30th Sept.,"Jet-skiing
Sailing
Swimming/bathing
Wind surfing",Pub nearby,Poole,BH13 7PS,SZ 0508 8832,5 star
Canford Cliffs Poole,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/canford-cliffs-poole.htm,Sandy,Yes,Dog ban from 1 May until 30 September although allowed after 6pm all year. Dog bins are present.,Swimming/bathing,Shop,Poole,BH13 7PS,SZ 0600 8921,5 star
Branksome Chine Poole,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/branksome-chine-poole.htm,Sand & shingle,Yes,Dogs are not allowed in the main beach area from the 1st May - 30th Sept.,Wind surfing,Pub nearby,Poole,BH13 6JL,SZ 0667 8972,5 star
Alum Chine Bournemouth,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/alum-chine-bournemouth.htm,Sand & shingle,Yes,Dogs are allowed on parts of the beach throughout the year although they are banned from certain areas f.,"Kayaking/canoeing
Good fishing
Jet-skiing
Sailing
Swimming/bathing
Surfing
Water skiing
Wind surfing",Pub nearby,Bournemouth,BH4 8AF,SZ 0749 9019,5 star
West Bay,,England,https://www.thebeachguide.co.uk/south-east-england/kent/west-bay-westgate.htm,Westgate-on-Sea,Sandy,Yes,"Crazy golf/putting
Sailing
Rock pooling
Wind surfing",Promenade,Margate,CT8 8QG,TR 3202 7019,3 star
Southbourne Bournemouth,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/southbourne-bournemouth.htm,Sand & shingle,Yes,Dogs allowed,"Kayaking/canoeing
Good fishing
Jet-skiing
Sailing
Swimming/bathing
Surfing
Water skiing
Wind surfing",Pub nearby,Bournemouth,BH6 4AY,SZ 1471 9106,5 star
Manor Steps Bournemouth,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/manor-steps-bournemouth.htm,Sandy,Yes,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),Pub nearby,Pub nearby,Bournemouth,BH5 1BS,SZ 1148 9115,no data
Fishermans Walk Bournemouth,,England,https://www.thebeachguide.co.uk/south-west-england/dorset/fishermans-walk-bournemouth.htm,Sand & shingle,Yes,Dogs allowed,"Kayaking/canoeing
Good fishing
Jet-skiing
Sailing
Swimming/bathing
Surfing
Water skiing
Wind surfing",Pub nearby,Bournemouth,BH5 2EJ,SZ 1290 9124,5 star
West Wittering,,England,https://www.thebeachguide.co.uk/south-east-england/west-sussex/west-wittering.htm,Sandy,Yes,Bins are provided and dog free zones are in place from May to September. Dog bins are available all year round.,"Diving & snorkelling
Kite surfing
Swimming/bathing
Surfing
Wind surfing",Shower,Chichester,PO20 8AU,SZ 7691 9794,5 star
Beachlands - Hayling Island,,England,https://www.thebeachguide.co.uk/south-west-england/hampshire/west-beachlands-hayling-island.htm,Pebble,No,Dogs are banned from 1st May - 30th September and bylaws prohibit any fouling. Dog bins are provided.,"Good fishing
Sailing
Swimming/bathing
Water skiing
Wind surfing",First aid point,Portsmouth,PO11 0AJ,SZ 7145 9872,5 star
Widemouth Bay,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/widemouth-bay.htm,Sandy,Yes,Dogs are banned along half of the beach from Easter - October.,Shop,Shop,Bude,EX23 0AH,SS 1987 0234,5 star
Brighton Beach,,England,https://www.thebeachguide.co.uk/south-east-england/east-sussex/palace-pier-brighton.htm,Palace Pier,Shingle,Yes,"Swimming/bathing
Surfing",Pier,Brighton,BN2 1TW,TQ 3151 0374,3 star
Hove,,England,https://www.thebeachguide.co.uk/south-east-england/east-sussex/hove.htm,Hove Lawns,Shingle,Yes,"Sailing
Swimming/bathing
Surfing",Shop,Hove,BN3 2WJ,TQ 2891 0423,3 star
Crooklets Bude,,England,https://www.thebeachguide.co.uk/south-west-england/cornwall/crooklets-bude.htm,Sandy,Yes,Dogs are not allowed on the beach between Easter Day and 30 September.,"Diving & snorkelling
Sailing
Swimming/bathing
Surfing",Slipway,Bude,EX23 8NE,SS 2028 0713,5 star
Westward Ho!,,England,https://www.thebeachguide.co.uk/south-west-england/devon/westward-ho.htm,Sandy,Yes,"Dogs are not allowed on the majority of the beach between 1st May and 30th September. However, there is a 200 metre section, in front of Sandymere, where dogs are allowed all year round.","Swimming/bathing
Surfing
Wind surfing",Slipway,Bideford,EX39 1LL,SS 4321 2946,5 star
Stone Bay,,England,https://www.thebeachguide.co.uk/south-east-england/kent/stone-bay.htm,Sandy,Yes,Dogs banned from 1st May to 30th Sept from 10am to 6pm.,Rock pooling,Beach hut hire,Broadstairs,CT10 1ED,TR 3992 6869,3 star
Minnis Bay,,England,https://www.thebeachguide.co.uk/south-east-england/kent/minnis-bay.htm,Sandy,Yes,Dog ban from 1st May through to 30th September,"Kayaking/canoeing
Good fishing
Sailing
Swimming/bathing
Wind surfing",Slipway,Margate,CT7 9QR,TR 2871 6971,3 star
St Mildreds Bay,,England,https://www.thebeachguide.co.uk/south-east-england/kent/st-mildreds-bay.htm,Sand & rock,Yes,Dogs banned from 1st May to 30th Sept from 10am to 6pm.,"Crazy golf/putting
Sailing
Swimming/bathing
Wind surfing",Slipway,Margate,CT8 8AU,TR 3266 7039,3 star
Westbrook Bay Margate,,England,https://www.thebeachguide.co.uk/south-east-england/kent/westbrook-bay.htm,Sandy,Yes,Dogs allowed,"Swimming/bathing
Water skiing
Wind surfing",Slipway,Margate,CT9 5DW,TR 3410 7054,5 star
The Bay Margate,,England,https://www.thebeachguide.co.uk/south-east-england/kent/the-bay-margate.htm,Margate Sands,Sandy,Yes,"Amusement arcade
Donkey rides
Swimming/bathing",Promenade,Margate,CT9 1XP,TR 3506 7079,3 star
Castlerock,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-londonderry/castlerock.htm,Sandy,Yes,Restrictions apply to certain sections of this beach from 1st May to 30th Sept. Signs at the beach entrance have further information.,"Good fishing
Rock pooling",Promenade,Castlerock,NV 9507 9647,,3 star
Cranfield Bay,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-down/cranfield-bay.htm,Sand & shingle,No,Dogs restricted.,"Kayaking/canoeing
Jet-skiing
Wind surfing",Promenade,Kilkeel,SB 3353 6697,,2 star
Downhill Strand,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-londonderry/magilligan-downhill.htm,Magilligan Point,Sandy,Yes,"Donkey rides
Good fishing
Swimming/bathing
Surfing
Wind surfing",Shop,Castlerock,NV 8963 9683,,5 star
Magilligan Strand - Benone,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-londonderry/magilligan-strand-benone.htm,Sandy,Yes,Dog free zone within Blue Flag award area 1st May to 30th September inclusive.,"Good fishing
Jet-skiing
Kite surfing
Sailing
Swimming/bathing
Surfing",Childrens play area,Limavady,NV 9185 9654,,5 star
Mill Strand Portrush,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-antrim/mill-strand-portrush.htm,West Strand,Sandy,No,"Crazy golf/putting
Sailing
Surfing",Promenade,Portrush,NW 0382 9956,,3 star
Murlough,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-down/murlough-tyrella-newcastle.htm,Sandy,Yes,Dogs allowed,"Kite surfing
Surfing
Wind surfing",Disabled facilities,Newcastle,SB 4896 8856,,4 star
The Strand Portstewart,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-londonderry/the-strand-portstewart.htm,Sandy,No,Dogs allowed,"Kayaking/canoeing
Donkey rides
Jet-skiing
Wind surfing",Beach hut hire,Portstewart,NV 9892 9659,,5 star
Tyrella Beach (Clough),,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-down/tyrella-beach-clough.htm,Sandy,Yes,Dogs are banned between 10am and 6pm during the bathing season.,"Diving & snorkelling
Good fishing
Kite surfing
Swimming/bathing
Surfing
Wind surfing",Shop,Downpatrick,SB 5256 8984,,5 star
Whiterocks,,Northern Ireland,https://www.thebeachguide.co.uk/northern-ireland/county-antrim/whiterocks-portrush.htm,Sandy,Yes,Dogs are banned from 1 June to 15 September,"Kayaking/canoeing
Swimming/bathing
Surfing
Water skiing
Wind surfing",Disabled facilities,Portrush,NW 0672 9996,,5 star
Aberdeen Ballroom Beach,Aberdeen City,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/ballroom-aberdeen.htm,Sandy,No,We do not have information on this beach but restrictions may apply (usually from Easter until the end of Summer),"Good fishing
Wind surfing",Promenade,Aberdeen,AB24 5NR,NJ 9540 0716,3 star
Balmedie Beach,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/balmedie-country-park.htm,Sandy,No,Dogs allowed,"Kite surfing
Surfing",Disabled facilities,Aberdeen,AB23 8WU,NJ 9806 1826,5 star
Collieston,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/collieston.htm,Harbour,No,Dogs allowed,Town centre nearby,Town centre nearby,Peterhead,AB41 8RQ,NK 0410 2852,5 star
Cruden Bay,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/cruden-bay.htm,Sandy,No,Dogs allowed,Swimming/bathing,Town centre nearby,Peterhead,AB42 0HF,NK 0909 3570,3 star
Fraserburgh Tigerhill,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/fraserburgh.htm,Tiger Hill,Sandy,No,"Swimming/bathing
Surfing",Childrens play area,Fraserburgh,AB43 8UE,NK 0005 6607,5 star
Fraserburgh Waters of Philorth,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/fraserburgh-philorth.htm,Sandy,No,Dogs allowed,Swimming/bathing,Childrens play area,Fraserburgh,AB43 8TP,NK 0220 6509,4 star
Inverboyndie Beach,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/inverboyndie.htm,Sandy,No,Dogs allowed,"Swimming/bathing
Surfing","Swimming/bathing
Surfing",Banff,AB45 2JY,NJ 6715 6465,4 star
Peterhead Lido,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/peterhead-lido.htm,Harbour/Sand,No,Dogs allowed,"Kayaking/canoeing
Sailing
Swimming/bathing",Town centre nearby,Peterhead,AB42 2UP,NK 1245 4513,5 star
Stonehaven Beach,Aberdeenshire,Scotland,https://www.thebeachguide.co.uk/north-scotland/grampian/carron-stonehaven.htm,Sand & rock,No,Dogs allowed,Good fishing,Shop,Stonehaven,AB39 2FW,NO 8755 8584,3 star
Montrose Seafront,Angus,Scotland,https://www.thebeachguide.co.uk/south-scotland/tayside/montrose.htm,Sandy,No,Dogs allowed,"Surfing
Wind surfing",Promenade,Montrose,DD10 8EL,NO 7274 5824,5 star
