entity_number,registration_date,status,entity_name,jurisdiction,agent_for_service_of_process
C0002006,06/15/1875,FTB SUSPENDED,"COURT ROBIN HOOD NO. 1, FORESTERS OF AMERICA",CALIFORNIA,
C0026060,01/08/1897,ACTIVE,CONCELHO SAN LEANDRO NO. 1 DA UNIAO PORTUGUEZA DO ESTADO CALIFORNIA,CALIFORNIA,
C0034431,12/09/1901,FTB SUSPENDED,THE GARDEN GROVE IRRIGATION CO. NO. 1,CALIFORNIA,
C0035522,05/21/1902,TERM EXPIRED,CHOPPERS FRIENDSHIP CLUB NO. 1,CALIFORNIA,
C0040279,05/27/1904,FTB SUSPENDED,SOVINTO SOCIETY NO. 1,CALIFORNIA,
C0053417,04/04/1908,DISSOLVED,TUOLUMNE HOSE COMPANY NO. 1,CALIFORNIA,BRIAN RICE
C0062101,07/22/1910,DISSOLVED,YUCAIPA WATER COMPANY NO. 1,CALIFORNIA,
C0063616,12/20/1910,FTB SUSPENDED,CONCELHO SUBORDINADO NO 1 DA SOCIEDAD DO ESPIRITO SANTO,CALIFORNIA,
C0074299,08/19/1913,FTB SUSPENDED,"SOCIETA TRIPOLI DI MUTUA BENEFICENZA NO. 1, INC.",CALIFORNIA,
C0079759,04/09/1915,FTB SUSPENDED,"CIRCOLO RUINITO NO. 1, ORDICE DEI FORESTERS ITALIANI DI CALIFORNIA",CALIFORNIA,
C0082547,07/05/1916,TERM EXPIRED,"CORTE CRISTOFORO COLOMBO NO. 1, UNIVERSALE ORDINE DEL FORESTERS",CALIFORNIA,
C0084380,04/30/1917,ACTIVE,MAYWOOD MUTUAL WATER COMPANY NO 1,CALIFORNIA,SERGIO PALOS
C0084452,05/09/1917,DISSOLVED,FARMERS EXCHANGE NO. 1,CALIFORNIA,
C0086027,02/27/1918,FTB SUSPENDED,"SWEDISH LADIES' SOCIETY JENNY LIND NO. 1, OF OAKLAND, CALIFORNIA",CALIFORNIA,
C0095047,04/21/1921,DISSOLVED,WATER USERS ASSOCIATION OF GRIDLEY COLONY DITCH NO. 1,CALIFORNIA,ROBERT C FRASER
C0100443,02/27/1922,DISSOLVED,A-1 AUTO WORKS INCORPORATED,CALIFORNIA,
C0115167,08/03/1925,DISSOLVED,"LAGUNA-MAYWOOD MUTUAL WATER COMPANY, NO. 1",CALIFORNIA,
C0121493,12/03/1926,DISSOLVED,WELDON CANYON CO-OPERATIVE WATER ASSOCIATION NO. 1,CALIFORNIA,
C0123516,04/25/1927,ACTIVE,MUSCOY MUTUAL WATER COMPANY NO. 1,CALIFORNIA,SUSAN DAWSON
C0137903,02/10/1930,FTB SUSPENDED,"VETERANS OF A.E.F. SIBERIA, COLONEL SARGENT POST NO. 1",CALIFORNIA,
C0140950,08/25/1930,FTB SUSPENDED,"CASH OIL COMPANY NO. 1, LTD.",CALIFORNIA,
C0150653,08/22/1932,FTB SUSPENDED,"SAN DIEGO LODGE NO. 1, AMERICAN SECTION, OF THE THEOSOPHICAL SOCIETY",CALIFORNIA,
C0154822,07/21/1933,ACTIVE,THE GOLDEN 1 CREDIT UNION,CALIFORNIA,COURTNEY LINN
C0158116,04/13/1934,ACTIVE,"HOMER BLEVINS CHAPTER NO. 1, INC. DISABLED AMERICAN VETERANS OF THE   WORLD WAR",CALIFORNIA,MICHAEL KERR
C0161190,01/21/1935,FTB SUSPENDED,WILLIAM A. HART INVESTORS GROUP NO. 1,CALIFORNIA,
C0161406,02/05/1935,FTB SUSPENDED,LEADER DRUG COMPANY NO. 1,CALIFORNIA,
