post_date,media_url,caption,comment count,number of likes
2021-10-16 01:49:02,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/245531339_288064493136309_5022326598086808720_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=7JoP2g_J4mkAX8-U29v&edm=APU89FABAAAA&ccb=7-4&oh=caae998b7cbfb1e9de6ad3f3a043df24&oe=618281D5&_nc_sid=86f79a&ig_cache_key=MjY4NTQzNjAyNzM2MzI1MzA5Nw%3D%3D.2-ccb7-4,Less Life Drama,2,46
2021-10-03 12:46:44,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/244223931_925424648060742_4961396273914075564_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=yr4Rb9g200IAX_QQDck&edm=APU89FABAAAA&ccb=7-4&oh=31aa6ab932ef719736e1fa5271e17d1c&oe=618105CD&_nc_sid=86f79a&ig_cache_key=MjY3NjM0NDk3MDY1ODgyMjMxNw%3D%3D.2-ccb7-4,Good Foods and Good Vibes. Its always fun to discover something new 🤍,1,56
2021-10-01 09:58:25,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/243746510_188308923370168_2949400553634751442_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=7SpAE5iD8EwAX8pGWiS&edm=APU89FABAAAA&ccb=7-4&oh=3b1815636d60bb125f21408f829d78c2&oe=618136B1&_nc_sid=86f79a&ig_cache_key=MjY3NDgxMDcwNzEwMjE1MzczMA%3D%3D.2-ccb7-4,🍃,0,32
2021-09-25 05:49:04,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/242732622_393410472340276_1329052800031260189_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=eMAmg4o14yoAX9J1izM&edm=APU89FABAAAA&ccb=7-4&oh=c30216311182de2b5118efb079ba07b8&oe=61822C39&_nc_sid=86f79a&ig_cache_key=MjY3MDMzNjU0OTE1NTkxNTE1OQ%3D%3D.2-ccb7-4,Beyond Grateful and Thankful 🙏🏻🤍,0,41
2021-09-20 11:03:05,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/242232812_185225660382948_5528958861436912196_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=MlZq-6fNqTsAX-ditkY&edm=APU89FABAAAA&ccb=7-4&oh=234be4970d0a5eea72366b2e3c6b5751&oe=61828D9B&_nc_sid=86f79a&ig_cache_key=MjY2Njg3MDcxNTMxOTc2OTM3Mw%3D%3D.2-ccb7-4,"Life is not always easy to live, but the opportunity to do so is a blessing beyond comprehension. In the process of living, we will face struggles, many of which will cause us to suffer and to experience pain.

-L. Lionel Kendrick",0,40
2021-09-17 10:38:30,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/242230945_437351487705660_888310512597320463_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Vg4rsnsiAn0AX_sk8hV&edm=APU89FABAAAA&ccb=7-4&oh=890b4ce2556e7a8c36cbe320abbf452a&oe=61822110&_nc_sid=86f79a&ig_cache_key=MjY2NDY4NDAxODU2OTk1MzQ1NQ%3D%3D.2-ccb7-4,No More Goodbye just see you outside around 🥺. Thank you for being a friend since the first day i Step Inside the office 🤍 We are always rooting for you remember that 🤍,4,72
2021-09-11 12:21:47,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/241668151_1057030965069008_4626636464466942769_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=yB66D2aV9wcAX9nKl7-&edm=APU89FABAAAA&ccb=7-4&oh=8a11a3a433946c57d5d58bfddf5baba3&oe=6180EDCD&_nc_sid=86f79a&ig_cache_key=MjY2MDM4NzM0OTE0OTk1NjAwMQ%3D%3D.2-ccb7-4,"Saturday, Go Nuts About Nuts 🌰",0,52
2021-09-06 11:21:36,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/241205882_245156314173313_3572889034589153477_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=WrJb_num17sAX9Lba3A&edm=APU89FABAAAA&ccb=7-4&oh=f243a4f4095cc541fbced1c9f1cedbe8&oe=61818CA6&_nc_sid=86f79a&ig_cache_key=MjY1NjczMzE3NjcxNTI4MTEyMQ%3D%3D.2-ccb7-4,"Face Mask , Face Shield and Me",0,46
2021-08-31 08:40:41,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/241002337_642522333388071_4902632044585476266_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=4TFlj8KXxqUAX-mR51j&edm=APU89FABAAAA&ccb=7-4&oh=cf285dfa57f645d00ebf0dc2a8b4c1e9&oe=6181178E&_nc_sid=86f79a&ig_cache_key=MjY1MjMwMzUzNDIxODY3NzExNQ%3D%3D.2-ccb7-4,Thirty Shades of Happiness,4,59
2021-08-03 07:43:07,https://instagram.fcrk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/229819831_2955175788089858_75971507823114869_n.jpg?_nc_ht=instagram.fcrk4-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UFPRr8nLKhcAX8fRW8_&edm=APU89FABAAAA&ccb=7-4&oh=2eefee74bd6c4ef3aab995d64255bef6&oe=6180E21A&_nc_sid=86f79a&ig_cache_key=MjYzMTk4MDgzMzEwOTI3MTk4MQ%3D%3D.2-ccb7-4,"Enchanting View, Refreshing Breeze and Good Coffee !

#vsco #vscocam #napa #green",0,65
