Date,Open,High,Low,Shares Traded,Turnover(₹Cr)
02-Aug-2021,15874.90,15892.90,15834.65,15885.15,244847433
03-Aug-2021,15951.55,16146.90,15914.35,16130.75,341289658
04-Aug-2021,16195.25,16290.20,16176.15,16258.80,427337644
05-Aug-2021,16288.95,16349.45,16210.30,16294.60,418174517
06-Aug-2021,16304.40,16336.75,16223.30,16238.20,320087281
09-Aug-2021,16281.35,16320.75,16179.05,16258.25,240452917
10-Aug-2021,16274.80,16359.25,16202.25,16280.10,287989486
11-Aug-2021,16327.30,16338.75,16162.55,16282.25,277895886
12-Aug-2021,16303.65,16375.50,16286.90,16364.40,280181324
13-Aug-2021,16385.70,16543.60,16376.30,16529.10,321866286
16-Aug-2021,16518.40,16589.40,16480.75,16563.05,254049330
17-Aug-2021,16545.25,16628.55,16495.40,16614.60,297388470
18-Aug-2021,16691.95,16701.85,16535.85,16568.85,251796822
20-Aug-2021,16382.50,16509.55,16376.05,16450.50,350819323
23-Aug-2021,16592.25,16592.50,16395.70,16496.45,275597782
24-Aug-2021,16561.40,16647.10,16495.30,16624.60,275362819
25-Aug-2021,16654.00,16712.45,16617.50,16634.65,265920141
26-Aug-2021,16627.95,16683.70,16603.40,16636.90,253530997
27-Aug-2021,16642.55,16722.05,16565.60,16705.20,217405743
30-Aug-2021,16775.85,16951.50,16764.85,16931.05,283483108
