color_code,red,green,blue,name,family,cellular,roller,panel_track,sheer,drapery,valance_cornice,soft_roman,insulating_blinds,filename,composite_filename
100,233,233,234,ULTRA WHITE,White,1,1,1,1,1,1,1,1,,
101,230,230,225,ICE CASTLE,Off White,1,1,1,1,1,1,1,1,,
102,228,229,229,OYSTER PEARL,Off White,1,1,1,1,1,1,1,1,,
103,232,230,222,IVORY DUST,Off White,1,1,1,1,1,1,1,1,,
104,228,226,229,SAND DOLLAR,Off White,1,1,1,1,1,1,1,1,,
105,229,229,226,SOFT CHAMOIS,Off White,1,1,1,1,1,1,1,1,,
106,213,213,212,MORNING FOG,Grey,1,1,1,1,1,1,1,1,,
107,226,224,216,COURTYARD TAN,Off White,1,1,1,1,1,1,1,1,,
108,233,228,213,ANTIQUE LACE,Off White,1,1,1,1,1,1,1,1,,
109,226,225,206,VANILLA LATTE,Off White,1,1,1,1,1,1,1,1,,
110,220,218,207,DOVE WHITE,Off White,1,1,1,1,1,1,1,1,,
111,202,199,191,FEATHER STONE,Grey,1,1,1,1,1,1,1,1,,
112,225,212,173,LEMON CREAM,Yellow,1,1,1,1,1,1,1,1,,
113,196,210,192,AMBROSIA MINT,Green,1,1,1,1,1,1,1,1,,
114,199,201,156,SPRING MEADOW,Green,1,1,1,1,1,1,1,1,,
115,193,210,203,SEA MIST,Teal,1,1,1,1,1,1,1,1,,
116,184,197,215,GENTLE WIND,Blue,1,1,1,1,1,1,1,1,,
117,164,183,203,MORNING SKY,Blue,1,1,1,1,1,1,1,1,,
118,188,192,212,VIOLET DUSK,Purple,1,1,1,1,1,1,1,1,,
119,227,207,200,CRYSTAL PINK,Pink,1,1,1,1,1,1,1,1,,
120,213,182,166,DESERT TAN,Peach,1,1,1,1,1,1,1,1,,
121,210,162,148,SOFT MELON,Peach,1,1,1,1,1,1,1,1,,
122,210,173,134,SUNSET GLOW,Orange,1,1,1,1,1,1,1,1,,
123,196,194,194,ARCTIC SHADOW,Grey,1,1,1,1,1,1,1,1,,
124,195,192,183,SEASHELL GRAY,Grey,1,1,1,1,1,1,1,1,,
125,180,177,180,CATHEDRAL STONE,Grey,1,1,1,1,1,1,1,1,,
126,149,147,140,TRANQUIL TAUPE,Taupe,1,1,1,0,1,1,1,1,,
127,167,145,121,HIDDEN OAKS,Brown,1,1,1,0,1,1,1,1,,
128,177,160,137,ARIZONA TAN,Tan,1,1,1,1,1,1,1,1,,
129,185,166,114,SAFARI SUN,Gold,1,1,1,0,1,1,1,1,,
130,148,118,94,AUTUMN RUSSET,Brown,1,1,1,0,1,1,1,1,,
131,138,136,112,PINEBROOK,Green,1,1,1,0,1,1,1,1,,
132,175,177,160,TREE MOSS,Green,1,1,1,1,1,1,1,1,,
133,169,177,186,BLUE HAZE,Blue,1,1,1,1,1,1,1,1,,
134,137,139,148,OCEAN STORM,Purple,1,1,1,0,1,1,1,1,,
135,78,86,91,DEEP RIVER,Blue,1,1,1,0,1,1,1,1,,
136,97,145,188,PACIFIC BLUE,Blue,1,1,1,0,1,1,1,1,,
137,81,128,143,CLASSIC TEAL,Teal,1,1,1,0,1,1,1,1,,
138,83,142,124,GREEN SEA,Teal,1,1,1,0,1,1,1,1,,
139,121,174,178,TROPICAL TIDE,Teal,1,1,1,0,1,1,1,1,,
140,173,181,101,LIME BURST,Green,1,1,1,0,1,1,1,1,,
