url,title,best_answer_1,best_answer_2,keyword,question_1,answer_1,question_2,answer_2,question_3,answer_3,question_4,answer_4,best_answer_3
https://stackoverflow.com/questions/54765320/outer-product-of-two-rectangular-matrices-in-matlab,matrix - Outer product of two rectangular matrices in matlab,"<p>The <code>*</code> operator in MATLAB calculates the <a href=https://en.wikipedia.org/wiki/Matrix_multiplication rel=nofollow noreferrer>matrix multiplication</a>.</p>
<p>I guess what you want is the <a href=https://en.wikipedia.org/wiki/Kronecker_product rel=nofollow noreferrer>Kronecker product</a>. It can be done with the <a href=https://de.mathworks.com/help/matlab/ref/kron.html rel=nofollow noreferrer><code>kron</code></a> function in MATLAB.</p>","<p>If you are looking for a 6x6 matrix, you likely want to do</p>
<pre><code>r(:) * r(:).
</code></pre>
<p><code>r(:)</code> is a vector with all the elements of matrix <code>r</code>.</p>
<p>If you are looking for the tensor outer product of <code>r</code> with itself, which will have a size of 2x3x2x3, then you need to do as follows:</p>
<pre><code>r .* shiftdim(r,-2)
</code></pre>
<p>(with the 2 being the number of dimensions in <code>r</code>, and the <code>.*</code> the element-wise multiplication with implicit singleton expansion.)</p>
<p>Note that both answers produce the same set of values, as does the <code>kron(r,r)</code> <a href=https://stackoverflow.com/a/54766511/7328782>solution by yar</a>, but all three put the resulting elements in a different order.</p>",outer product matlab,Is every matrix an outer product?,"Any matrix can be represented as a sum of outer products of vectors, and by the definition of tensor product, any tensor is a linear combination of outer products of vectors, so any matrix is a tensor whether or not it can be written as an outer product (i.e., has rank ).",Is outer product same as cross product?,"In Geometric algebra, the cross-product of two vectors is the dual (i.e. a vector in the orthogonal subspace) of the outer product of those vectors in G(so in a way you could say that the outer product generalizes the dot product, although the cross product is not an outer product).",What is the vector outer product?,"In linear algebra, the outer product of two coordinate vectors is a matrix. ... If the two vectors have dimensions n and m, then their outer product is an n × m matrix. More generally, given two tensors (multidimensional arrays of numbers), their outer product is a tensor.",How do you find the inner product of two vectors?,"The inner product of two vector (of equal length, of course), is simply given by the sum of the products of the coordinates with same index. u1v1+u2v2+... +unvn=n∑i=1uivi . Furthermore, two vectors are said to be perpendicular if their inner product is zero, i.e. u⋅v=0 .",
https://stackoverflow.com/questions/52416312/npm-equivalent-of-yarn-resolutions,package.json - npm equivalent of yarn resolutions?,"<p>This does not seem to be supported by npm natively, however this package aims to add this functionality:</p>
<p><a href=https://github.com/rogeriochaves/npm-force-resolutions rel=noreferrer>https://github.com/rogeriochaves/npm-force-resolutions</a></p>","<p><a class=post-tag href=/questions/tagged/npm rel=tag title=show questions tagged npm>npm</a> is due to support <a href=https://github.com/npm/rfcs/pull/129 rel=noreferrer><code>overrides</code></a>, which is equivalent to yarns <code>resolutions</code>.</p>
<p>For more information about the current RFC status:</p>
<p><a href=https://github.com/npm/rfcs/blob/latest/accepted/0036-overrides.md rel=noreferrer>https://github.com/npm/rfcs/blob/latest/accepted/0036-overrides.md</a></p>",package json resolutions,What are resolutions in package json?,"resolutions is simply a map of package names and the exact versions of those packages that should be kept in the dependency tree, i.e. the above configuration will remove all versions of webpack that are not 5.6.",What are yarn resolutions?,"Yarn supports selective version resolutions, which lets you define custom package versions or ranges inside your dependencies through the resolutions field in your package. json file. Normally, this would require manual edits in the yarn. lock file.",How does npm resolve dependency?,"Npm installs dependencies in the order they are listed in the package. json file. So, it will encounter module A (version 1) first and install it as root dependency under node_modules. Now when npm is installing module B it checks whether the dependencies of module B are already installed as root dependencies or not.",Does yarn look at package json?,Every yarn package must have a package. json file which yarn looks for in order to identify the package. This file configures the behavior of yarn while it is running inside that package.,"<p>Npm equivalent to yarn resolutions is overrides. After the <a href=https://github.com/npm/rfcs/pull/129 rel=noreferrer>RFC</a> was accepted now theres an epic to watch the progress of implementation. <a href=https://github.com/npm/statusboard/issues/343 rel=noreferrer>https://github.com/npm/statusboard/issues/343</a></p>
<p>Edit: This was released in <a href=https://github.com/npm/cli/releases/tag/v8.3.0 rel=noreferrer>npm v8.3.0</a></p>
<p>Documentation: <a href=https://docs.npmjs.com/cli/v8/configuring-npm/package-json#overrides rel=noreferrer>https://docs.npmjs.com/cli/v8/configuring-npm/package-json#overrides</a></p>
<blockquote>
<p>To make sure the package foo is always installed as version 1.0.0 no
matter what version your dependencies rely on:</p>
<pre><code>{
  overrides: {
    foo: 1.0.0
  }
}
</code></pre>
</blockquote>"
https://stackoverflow.com/questions/2428092/creating-a-json-response-using-django-and-python,Creating a JSON response using Django and Python,"<p>I usually use a dictionary, not a list to return JSON content. </p>
<pre><code>import json

from django.http import HttpResponse

response_data = {}
response_data[result] = error
response_data[message] = Some error message
</code></pre>
<p>Pre-Django 1.7 youd return it like this:</p>
<pre><code>return HttpResponse(json.dumps(response_data), content_type=application/json)
</code></pre>
<p>For Django 1.7+, use <a href=https://docs.djangoproject.com/en/dev/ref/request-response/#jsonresponse-objects rel=noreferrer><code>JsonResponse</code></a> as shown in <a href=https://stackoverflow.com/a/24411716/7376>this SO answer</a> like so : </p>
<pre><code>from django.http import JsonResponse
return JsonResponse({foo:bar})
</code></pre>","<p>New in django 1.7</p>
<p>you could use <a href=https://docs.djangoproject.com/en/dev/ref/request-response/#jsonresponse-objects rel=noreferrer>JsonResponse</a> objects. </p>
<p>from the docs:</p>
<pre><code>from django.http import JsonResponse
return JsonResponse({foo:bar})
</code></pre>",django return json,How do I return JSON in Django?,"from django. import json # for older versions (and using python < ) #from django.utils import simplejson # and change the json.dumps for simplejson.dumps from django. { ""id"": ""name"":""Test Response"", ""roles"":[ ""Admin"", ""User"" ] }",How do I return a JSON response?,"from django. import json # for older versions (and using python < ) #from django.utils import simplejson # and change the json.dumps for simplejson.dumps from django. { ""id"": ""name"":""Test Response"", ""roles"":[ ""Admin"", ""User"" ] }",What is JSON response in Django?,"Django JsonResponse JsonResponse is an HttpResponse subclass that helps to create a JSON-encoded response. Its default Content-Type header is set to application/json. The first parameter, data , should be a dict instance. JsonResponse is an HttpResponse subclass that helps to create a JSON-encoded response. Its default Content-Type header is set to application/json. The first parameter, data , should be a dict instance.",What is safe false in JsonResponse?,"Django JsonResponse If the safe parameter is set to False , any object can be passed for serialization; otherwise only dict instances are allowed. If the safe parameter is set to False , any object can be passed for serialization; otherwise only dict instances are allowed.","<p>I use this, it works fine.</p>
<pre><code>from django.utils import simplejson
from django.http import HttpResponse

def some_view(request):
    to_json = {
        key1: value1,
        key2: value2
    }
    return HttpResponse(simplejson.dumps(to_json), mimetype=application/json)
</code></pre>
<p>Alternative:</p>
<pre><code>from django.utils import simplejson

class JsonResponse(HttpResponse):
    
        JSON response
    
    def __init__(self, content, mimetype=application/json, status=None, content_type=None):
        super(JsonResponse, self).__init__(
            content=simplejson.dumps(content),
            mimetype=mimetype,
            status=status,
            content_type=content_type,
        )
</code></pre>
<p>In Django 1.7 <a href=https://docs.djangoproject.com/en/dev/ref/request-response/#jsonresponse-objects rel=noreferrer>JsonResponse</a> objects have been added to the Django framework itself which makes this task even easier:</p>
<pre><code>from django.http import JsonResponse
def some_view(request):
    return JsonResponse({key: value})
</code></pre>"
https://stackoverflow.com/questions/34677644/how-to-use-comparison-operators-like-on-bigdecimal/34677687,"java - How to use comparison operators like >, =, < on BigDecimal","<p>To be short: </p>
<pre><code>firstBigDecimal.compareTo(secondBigDecimal) &lt; 0 // &lt;
firstBigDecimal.compareTo(secondBigDecimal) &gt; 0 // &gt;    
firstBigDecimal.compareTo(secondBigDecimal) == 0 // ==  
firstBigDecimal.compareTo(secondBigDecimal) &gt;= 0 // &gt;=    
</code></pre>","<p>Every object of the Class <code>BigDecimal</code> has a method <a href=https://docs.oracle.com/javase/8/docs/api/java/math/BigDecimal.html#compareTo-java.math.BigDecimal- rel=noreferrer><code>compareTo</code></a> you can use to compare it to another BigDecimal. The result of <code>compareTo</code> is then compared <code>&gt; 0</code>, <code>== 0</code> or <code>&lt; 0</code> depending on what you need. Read the documentation and you will find out.</p>
<p>The operators <code>==</code>, <code>&lt;</code>, <code>&gt;</code> and so on can only be used on primitive data types like <code>int</code>, <code>long</code>, <code>double</code> or their wrapper classes like <code>Integer</code>and <code>Double</code>.</p>
<p>From the documentation of <code>compareTo</code>:</p>
<blockquote>
<p>Compares this <code>BigDecimal</code> with the specified <code>BigDecimal</code>. </p>
<p>Two <code>BigDecimal</code>
  objects that are equal in value but have a different scale (like 2.0
  and 2.00) are considered equal by this method. This method is provided
  in preference to individual methods for each of the six boolean
  comparison operators (&lt;, ==, &gt;, &gt;=, !=, &lt;=). The suggested idiom for
  performing these comparisons is: <code>(x.compareTo(y) &lt;op&gt; 0)</code>, where <code>&lt;op&gt;</code>
  is one of the six comparison operators.</p>
<p>Returns:
  -1, 0, or 1 as this BigDecimal is numerically less than, equal to, or greater than val.</p>
</blockquote>",bigdecimal compare,How can I compare two BigDecimal values?,compareTo(BigDecimal val) compares the BigDecimal Object with the specified BigDecimal value. Two BigDecimal objects that are equal in value but have a different scale (like and ) are considered equal by this method.,How do I use BigDecimal compareTo?,"0 : if value of this BigDecimal is equal to that of BigDecimal object passed as parameter.
1 : if value of this BigDecimal is greater than that of BigDecimal object passed as parameter.
-1 : if value of this BigDecimal is less than that of BigDecimal object passed as parameter.",How do I know if BigDecimal is equal?,equals() method checks for equality of a BigDecimal value with the object passed. This method considers two BigDecimal objects equal if only if they are equal in value and scale.,How do I compare BigDecimal values?,"Use the compareTo method of BigDecimal : public int compareTo(BigDecimal val) Compares this BigDecimal with the specified BigDecimal. Returns: -1, 0, or 1 as this BigDecimal is numerically less than, equal to, or greater than val.","<p>Use the <a href=https://docs.oracle.com/javase/8/docs/api/java/math/BigDecimal.html#compareTo-java.math.BigDecimal- rel=noreferrer><code>compareTo</code></a> method of BigDecimal :</p>
<blockquote>
<p>public int compareTo(BigDecimal val) Compares this BigDecimal with the
  specified BigDecimal. </p>
<pre><code>Returns:
-1, 0, or 1 as this BigDecimal is numerically less than, equal to, or greater than val.
</code></pre>
</blockquote>"
https://stackoverflow.com/questions/37017244/uploading-a-file-to-a-s3-bucket-with-a-prefix-using-boto3,python - Uploading a file to a S3 bucket with a prefix using Boto3,"<p>Im assuming you have all this set up:</p>
<ol>
<li>AWS Access Key ID and Secret Key set up (typically stored at <code>~/.aws/credentials</code></li>
<li>You have access to S3 and you know your bucket names &amp; prefixes (subdirectories)</li>
</ol>
<p>According to the <a href=https://boto3.readthedocs.io/en/latest/reference/services/s3.html#S3.Client.upload_file rel=noreferrer title=Boto3 S3 upload_file documentation>Boto3 S3 <code>upload_file</code> documentation</a>, you should upload your upload like this:</p>
<p><code>upload_file(Filename, Bucket, Key, ExtraArgs=None, Callback=None, Config=None)</code></p>
<pre><code>import boto3
s3 = boto3.resource(s3)
s3.meta.client.upload_file(/tmp/hello.txt, mybucket, hello.txt)
</code></pre>
<p>The key to note here is <code>s3.meta.client</code>. Dont forget that--it worked for me!</p>
<p>I hope that helped.</p>","<pre><code>import boto3

s3 = boto3.resource(s3)
s3.meta.client.upload_file( csv1.csv, bucketname, prefixna/csv1.csv)
</code></pre>",boto3 upload file,How do I upload files to boto3?,Create a botosession. Create an object for S object. Access the bucket in the S resource using the s.Bucket() method and invoke the upload_file() method to upload the files. upload_file() method accepts two parameters. File_Path – Path of the file from the local system that needs to be uploaded.,What is boto3 client (' S3 ')?,"Amazon Web Services (AWS) has become a leader in cloud computing. One of its core components is S, the object storage service offered by AWS. ... Botois the name of the Python SDK for AWS. It allows you to directly create, update, and delete AWS resources from your Python scripts.",How do I upload files to AWS S3?,"In the Amazon S3 console, choose the bucket where you want to upload an object, choose Upload, and then choose Add Files. In the file selection dialog box, find the file that you want to upload, choose it, choose Open, and then choose Start Upload. You can watch the progress of the upload in the Transfer pane.",How do I import a CSV file into an S3 bucket?,"Navigate to All Settings > Raw Data Export > CSV Upload. Toggle the switch to ON. Select Amazon S3 Bucket from the dropdown menu. Enter your Access Key ID, Secret Access Key, and bucket name.","<p>Turns out I needed SSE:</p>
<pre><code>transfer = S3Transfer(s3_client)
transfer.upload_file(/tmp/hello.txt, bucket_name, prefix+hello-remote.txt, extra_args={ServerSideEncryption: AES256})
</code></pre>"
https://stackoverflow.com/questions/17969365/why-i-am-getting-java-lang-abstractmethoderror-errors,thrift - Why I am getting java.lang.AbstractMethodError errors?,<p>It usually means that you are using an old version of an interface implementation which is missing a new interface method. For example java.sql.Connection interface got a new getSchema method in 1.7. If you have 1.6 JDBC driver and call Connection.getSchema you will get  AbstractMethodError.</p>,"<p>The simple answer is this:  some code is trying to call a method which is declared <code>abstract</code>.  Abstract methods have no body and cannot be executed.  Since you have provided so little information I cant really elaborate more on how this can happen since the compiler usually catches this problem - <a href=http://docs.oracle.com/javase/6/docs/api/java/lang/AbstractMethodError.html rel=noreferrer>as described here, this means the class must have changed at runtime.</a></p>",java lang abstract method error,java lang abstract method error,"Thrown when an application tries to call an abstract method. Normally, this error is caught by the compiler; this error can only occur at run time if the definition of some class has incompatibly changed since the currently executing method was last compiled.
Class AbstractMethodError Thrown when an application tries to call an abstract method. Normally, this error is caught by the compiler; this error can only occur at run time if the definition of some class has incompatibly changed since the currently executing method was last compiled.",,,,,,,"<p>From documnentation of <a href=http://docs.oracle.com/javase/7/docs/api/java/lang/AbstractMethodError.html rel=noreferrer>AbstractMethodError</a></p>
<blockquote>
<p>Thrown when an application tries to call an abstract method. Normally,
  this error is caught by the compiler; this error can only occur at run
  time if the definition of some class has incompatibly changed since
  the currently executing method was last compiled.</p>
</blockquote>"
https://stackoverflow.com/questions/30042334/attribute-error-list-object-has-no-attribute-split,python - Attribute Error: list object has no attribute split,"<p>I think youve actually got a wider confusion here.</p>
<p>The initial error is that youre trying to call <code>split</code> on the whole list of lines, and you cant <code>split</code> a list of strings, only a string. So, you need to <code>split</code> <em>each line</em>, not the whole thing.</p>
<p>And then youre doing <code>for points in Type</code>, and expecting each such <code>points</code> to give you a new <code>x</code> and <code>y</code>. But that isnt going to happen. <code>Types</code> is just two values, <code>x</code> and <code>y</code>, so first <code>points</code> will be <code>x</code>, and then points will be <code>y</code>, and then youll be done. So, again, you need to loop over each line and get the <code>x</code> and <code>y</code> values from <em>each line</em>, not loop over a single <code>Types</code> from a single line.</p>
<p>So, everything has to go inside a loop over every line in the file, and do the <code>split</code> into <code>x</code> and <code>y</code> once for each line. Like this:</p>
<pre><code>def getQuakeData():
    filename = input(Please enter the quake file: )
    readfile = open(filename, r)

    for line in readfile:
        Type = line.split(,)
        x = Type[1]
        y = Type[2]
        print(x,y)

getQuakeData()
</code></pre>
<p>As a side note, you really should <code>close</code> the file, ideally with a <code>with</code> statement, but Ill get to that at the end.</p>
<hr/>
<p>Interestingly, the problem here isnt that youre being too much of a newbie, but that youre trying to solve the problem in the same abstract way an expert would, and just dont know the details yet. This is completely doable; you just have to be explicit about mapping the functionality, rather than just doing it implicitly. Something like this:</p>
<pre><code>def getQuakeData():
    filename = input(Please enter the quake file: )
    readfile = open(filename, r)
    readlines = readfile.readlines()
    Types = [line.split(,) for line in readlines]
    xs = [Type[1] for Type in Types]
    ys = [Type[2] for Type in Types]
    for x, y in zip(xs, ys):
        print(x,y)

getQuakeData()
</code></pre>
<p>Or, a better way to write that might be:</p>
<pre><code>def getQuakeData():
    filename = input(Please enter the quake file: )
    # Use with to make sure the file gets closed
    with open(filename, r) as readfile:
        # no need for readlines; the file is already an iterable of lines
        # also, using generator expressions means no extra copies
        types = (line.split(,) for line in readfile)
        # iterate tuples, instead of two separate iterables, so no need for zip
        xys = ((type[1], type[2]) for type in types)
        for x, y in xys:
            print(x,y)

getQuakeData()
</code></pre>
<hr/>
<p>Finally, you may want to take a look at NumPy and Pandas, libraries which <em>do</em> give you a way to implicitly map functionality over a whole array or frame of data almost the same way you were trying to.</p>","<p>The problem is that <code>readlines</code> is a list of strings, each of which is a line of <code>filename</code>. Perhaps you meant:</p>
<pre><code>for line in readlines:
    Type = line.split(,)
    x = Type[1]
    y = Type[2]
    print(x,y)
</code></pre>",attributeerror list object has no attribute split,What does AttributeError list object has no attribute split mean?,"Solution The initial error is that you're trying to call split on the whole list of lines, and you can't split a list of strings, only a string. So, you need to split each line, not the whole thing. The initial error is that you're trying to call split on the whole list of lines, and you can't split a list of strings, only a string. So, you need to split each line, not the whole thing.",What is attribute error in Python?,"AttributeError can be defined as an error that is raised when an attribute reference or assignment fails. For example, if we take a variable x we are assigned a value of  ... Note: Attribute errors in Python are generally raised when an invalid attribute reference is made.",What is no attribute in Python?,"It's simply because there is no attribute with the name you called, for that Object. This means that you got the error when the ""module"" does not contain the method you are calling.",What does AttributeError mean in Python?,"AttributeError can be defined as an error that is raised when an attribute reference or assignment fails. For example, if we take a variable x we are assigned a value of  ... Note: Attribute errors in Python are generally raised when an invalid attribute reference is made.","<p>what i did was a quick fix by converting readlines to string but i do not recommencement it but it works and i dont know if there are limitations or not </p>
<pre><code>`def getQuakeData():
    filename = input(Please enter the quake file: )
    readfile = open(filename, r)
    readlines = str(readfile.readlines())

    Type = readlines.split(,)
    x = Type[1]
    y = Type[2]
    for points in Type:
        print(x,y)
getQuakeData()`
</code></pre>"
https://stackoverflow.com/questions/9561174/using-setattr-in-python,Using setattr() in python,"<p>The <a href=http://docs.python.org/library/functions.html#setattr rel=noreferrer>Python docs</a> say all that needs to be said, as far as I can see.</p>
<blockquote>
<h3><code>setattr</code>(<em>object</em>, <em>name</em>, <em>value</em>)</h3>
<p>This is the counterpart of <a href=http://docs.python.org/library/functions.html#getattr rel=noreferrer><code>getattr()</code></a>. The arguments are an object, a string and an arbitrary value. The string may name an existing attribute or a new attribute. The function assigns the value to the attribute, provided the object allows it. For example, <code>setattr(x, foobar, 123)</code> is equivalent to <code>x.foobar = 123</code>.</p>
</blockquote>
<p>If this isnt enough, explain what you dont understand.</p>","<p>You are setting <code>self.name</code> to the <em>string</em> <code>get_thing</code>, not the function <code>get_thing</code>.</p>
<p>If you want <code>self.name</code> to be a function, then you should set it to one:</p>
<pre><code>setattr(self, name, self.get_thing)
</code></pre>
<p>However, thats completely unnecessary for your other code, because you could just call it directly:</p>
<pre><code>value_returned = self.get_thing()
</code></pre>",setattr python,What is Setattr () used for in Python?,Python setattr() function is used to assign a new value to the attribute of an object/instance. Setattr in python sets a new specified value argument to the specified attribute name of a class/function's defined object.,What is __ Setattr __ in Python?,"Python setattr() method is used to assign the object attribute its value. Apart from ways to assign values to class variables, through constructors and object functions, this method gives you an alternative way to assign value. ... var : object attribute which has to be assigned.",What is Setattr () and Getattr () used for?,As we have already seen what getattr() does; The setattr() function is used to assign a new value to an object/instance attribute.,What does Setattr return?,"The setattr() method returns None .
setattr() Return Value The setattr() method returns None .","<p><strong>Setattr:</strong>
We use <strong>setattr</strong> to add an attribute to our class instance. We pass the class instance, the attribute name, and the value. and with <strong>getattr</strong> we retrive these values</p>
<p>For example</p>
<pre><code>Employee = type(Employee, (object,), dict())

employee = Employee()

# Set salary to 1000
setattr(employee,salary, 1000 )

# Get the Salary
value = getattr(employee, salary)

print(value)
</code></pre>"
https://stackoverflow.com/questions/46688113/exception-in-thread-main-java-lang-numberformatexception-for-input-string,Exception in thread main java.lang.NumberFormatException: For input string:,"<p>You are calling the <code>parseInt</code> method with the String <code>18 7 4 6</code>. Since this isnt a valid Integer, the NumberFormatException is thrown.</p>
<p>You are already splitting the input into the <code>String[] sar</code>. In the <code>for</code> loop you already call <code>parseInt</code> on each value in <code>sar</code>, which are valid Integers. Seems like you have everything in place; just remove the <code>int target = Integer.parseInt(input);</code> line.</p>",,"exception in thread ""main"" java.lang.numberformatexception: for input string: """"",What is exception in thread main java Lang NumberFormatException for input string?,"The error ""Exception in thread ""main"" java. lang. NumberFormatException: For input string: ""null"" is specifically saying that the String you receive for parsing is not numeric and it's true, ""null"" is not numeric. Many Java methods which convert String to numeric type like Integer.",Is java Lang NumberFormatException for input string?,"lang. NumberFormatException for input string is one of the most common exceptions java programmers face while doing the coding. This exception occurs when someone tries to convert a String into primitive data types such as int, float, double, long, byte, short, etc.",What does java Lang NumberFormatException mean?,"The java. lang. NumberFormatException comes when you try to parse a non-numeric String to a Number like Short, Integer, Float, Double etc. For example, if you try to convert . ""null"" to an integer then you will get NumberFormatException.",How do I prevent NumberFormatException?,It must throw NumberFormatException if you try to parse it to integer. We can keep the code which is throwing exception into try block. try{ int i = Integer. parseInt(input); }catch(NumberFormatException ex){ // handle your exception ... },
https://stackoverflow.com/questions/8866041/how-can-i-list-all-collections-in-the-mongodb-shell,How can I list all collections in the MongoDB shell?,"<p>You can do...</p>
<p>JavaScript (shell):</p>
<pre><code>db.getCollectionNames()
</code></pre>
<p>Node.js:</p>
<pre><code>db.listCollections()
</code></pre>
<p>Non-JavaScript (shell only):</p>
<pre><code>show collections
</code></pre>
<p>The reason I call that non-JavaScript is because:</p>
<pre><code>$ mongo prodmongo/app --eval show collections
MongoDB shell version: 3.2.10
connecting to: prodmongo/app
2016-10-26T19:34:34.886-0400 E QUERY    [thread1] SyntaxError: missing ; before statement @(shell eval):1:5

$ mongo prodmongo/app --eval db.getCollectionNames()
MongoDB shell version: 3.2.10
connecting to: prodmongo/app
[
    Profiles,
    Unit_Info
]
</code></pre>
<p>If you really want that sweet, sweet <code>show collections</code> output, you can:</p>
<pre><code>$ mongo prodmongo/app --eval db.getCollectionNames().join(\n)
MongoDB shell version: 3.2.10
connecting to: prodmongo/app
Profiles
Unit_Info
</code></pre>","<pre><code>&gt; show collections
</code></pre>
<p>will list all the collections in the currently selected DB, as stated in the command line help (<code>help</code>).</p>",mongodb list collections,How do I list collections in MongoDB?,"connect with the MongoDB database using mongo .
then run show dbs command.
then select the database you want.
then run show collections command.",How do I list all databases in MongoDB?,"Listing all the databases in mongoDB console is using the command show dbs . For more information on this, refer the Mongo Shell Command Helpers that can be used in the mongo shell.",How do I list databases in MongoDB?,Use show dbs command from mongo shell to list all the available databases on MongoDB server. This will show the database name with there size. You can select any database using the use statement and work on it.,How do I show all databases in MongoDB?,"Listing all the databases in mongoDB console is using the command show dbs . For more information on this, refer the Mongo Shell Command Helpers that can be used in the mongo shell.","<blockquote>
<p>How do I list all collections for the current database that Im using?</p>
</blockquote>
<h2>Three methods</h2>
<ul>
<li><code>show collections</code></li>
<li><code>show tables</code></li>
<li><code>db.getCollectionNames()</code></li>
</ul>
<hr/>
<h3>To list all <em>databases</em>:</h3>
<pre><code>show dbs
</code></pre>
<h3>To enter or use a given database:</h3>
<pre><code>use databasename
</code></pre>
<hr/>
<h2>To list all <em>collections</em>:</h2>
<pre><code>show collections
</code></pre>
<p>Output:</p>
<blockquote>
<pre><code>collection1
collection2
system.indexes
</code></pre>
</blockquote>
<p>(or)</p>
<pre><code>show tables
</code></pre>
<p>Output:</p>
<blockquote>
<pre><code>collection1
collection2
system.indexes
</code></pre>
</blockquote>
<p>(or)</p>
<pre><code>db.getCollectionNames()
</code></pre>
<p>Output:</p>
<blockquote>
<pre><code>[ collection1, collection2, system.indexes ]
</code></pre>
</blockquote>
<hr/>
<h2>To enter or use given collection</h2>
<pre><code>use collectionname
</code></pre>"
