"item","description","series","facility","status","avail_for_sale","list_price","net_price","disc_price","product_style","product_type","catalog_description","catalog_material","finish_code","finish","item_height","item_width","item_length","item_depth","item_diameter","item_extension","package_height","package_width","package_length","weight","freight_only","not_ul_approved","energy_star","energy_saving","es_lamp_included","dark_sky","ul_type","amps","fan_watts","rpm","motor_size","motor_poles","motor_warranty","motor_lead_wire","motor_pull_switch_type","motor_reverse_switch_type","number_of_blades","sweep","blade_side_a_color","blade_side_b_color","arm_pitch","downrod_length1","downrod_length2","overall_fan_height","ceiling_to_lower_edge_of_blade","canopy_height","fan_housing_width","bulb_type","number_of_lights","light_watts","socket","diffuser_type","diffuser_material","diffuser_panels","shade_pattern","shade_color","diffuser_shape","multi_piece_count","multi_piece_height","multi_piece_width","multi_piece_length","multi_piece_depth","multi_piece_diameter","multi_piece_extension","phase_out","vendor_origin","master_pack","inner_pack","cartons_per_item","carb_required","lacey_required","fws_required","fda_required","carb_compliant","map_price","UPC"
"1011-965","DAMP LED KIT 18w - STN","","QRW","Active",111,225.00,75.00,75.00,"Soft Contemporary","Light Kit","","","STN","Satin Nickel ",4.00,8.13,.00,.00,.00,.00,12.00,13.25,13.25,3.40,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","1","18","Array","","",0,"","","",0,,,,,,,"N","China",4,1,1,"N         ","N         ","N         ","N         ","N         ",150.00,"190808147714"
"11525-4","52"" -BL CUSTM SERS FAN-AB","Custom Hugger","QRW","Active",0,187.50,62.50,62.50,"Traditional","Ceiling Fan","","","AB","Antique Brass ",.00,.00,.00,,.00,.00,12.50,20.00,8.00,14.10,"N","N","N","N","N","N","Dry",".40/.32/.19","71/32/14","158/121/75","153x12","14","Limited Lifetime",8.00,"Hi/Med/Low/Off","Slide",5,"52                              ","Dark Oak                        ","Medium Oak                      ",11.50,.00,.00,7.87,5.91,.00,11.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"Y         ","N         ","N         ","N         ","N         ",125.00,"190808049483"
"1316-65","MESH CONE PEND - STN","","QRW","Active",0,156.00,52.00,52.00,"Transitional","Pendant","","","STN","Satin Nickel ",13.00,6.00,.00,.00,.00,.00,19.00,7.75,7.75,2.62,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"","1","60","Medium","","",0,"","","",0,,,,,,,"N","China",6,1,1,"","","","","N         ",104.00,"190808162465"
"135525-95","52"" 5BL MONACO FAN - OW","Monaco","QRW","Active",97,666.00,222.00,222.00,"Coastal","Patio Fan","","","OW","Old World ",11.50,15.25,22.00,,.00,.00,15.25,22.50,11.50,27.00,"N","N","N","N","N","N","Wet",".52/.38/.26","67/38/18","170/120/78","188x15","16","Limited Lifetime",80.00,"Hi/Med/Low/Off","Slide",5,"0                               ","Walnut                          ","Walnut                          ",14.00,4.00,6.00,16.73,13.58,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",444.00,"190808049582"
"137525-924","HUDSON PATIO - GV/WLNT","HUDSON","QRW","Active",55,519.00,173.00,173.00,"Soft Contemporary","Patio Fan","","","GV","Galvanized ",.00,.00,.00,.00,.00,.00,10.75,14.00,20.00,22.80,"N","N","N","N","N","N","Wet",".57/.39/.21","68/30/9","163/110/65","172x14","16","Limited Lifetime",80.00,"Hi/Med/Low/Off","Slide",5,"52                              ","Walnut                          ","Walnut                          ",14.00,6.00,.00,16.50,14.75,2.00,13.75,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",346.00,"190808049261"
"140625-86","ALTO 62"" PATIO FAN - OB","Alto Patio","QRW","Active",129,672.00,224.00,224.00,"Transitional","Patio Fan","","","OB","Oiled Bronze ",12.50,18.50,26.00,.00,.00,.00,11.25,14.50,25.50,34.60,"N","N","N","N","N","N","Wet","0.671/0.577/0.38","75.7/50.5/22.2","149/117/73","212x25","20","Limited Lifetime",80.00,"Hi/Med/Low/Off","",5,"62                              ","Oiled Bronze                    ","Oiled Bronze                    ",12.00,4.00,6.00,14.00,12.00,.00,.00,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",448.00,"190808130266"
"143525-95","ESTATE PATIO 52"" - OW    ","Estate Patio","QRW","Active",254,340.50,113.50,113.50,"Traditional","Patio Fan","","","OW","Old World ",9.75,12.00,20.75,,.00,.00,24.50,10.25,12.25,18.45,"N","N","N","Y","N","N","Wet",".57/.39/.21","65/29/8","168/112/65","153x15","14","Limited Lifetime",80.00,"Hi/Med/Low/Off","Slide",5,"52                              ","Walnut                          ","Walnut                          ",14.00,4.00,6.00,13.78,11.02,.00,11.02,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",227.00,"190808068798"
"151525-95","MEDALLION 52""5BL PATIO-OW","Medallion Patio","QRW","Active",68,336.00,112.00,112.00,"Traditional","Patio Fan","","","OW","Old World ",13.00,19.75,7.75,,.00,.00,13.00,20.00,8.00,18.20,"N","N","N","N","N","N","Damp",".55/.39/.21","67/31/10","167/116/62","153x15","14","ltd life",8.00,"Hi/Med/Low/Off","Slide",5,"52                              ","Walnut                          ","Walnut                          ",14.00,.00,.00,7.48,7.40,.00,11.81,"","","","","","",,"","","",0,,,,,,,"N","China",1,0,1,"N         ","N         ","N         ","N         ","N         ",224.00,"190808049827"
"180-1","KRESS 15w 90C 3000K L/K","Kress","QRW","Active",156,155.25,51.75,51.75,"Modern and Contemporary","Light Kit","","","","n/a",.00,.00,.00,.00,.00,.00,.00,.00,.00,.60,"N","N","N","N","N","N","Dry","","","","","","",.00,"","",0,"","","",.00,.00,.00,.00,.00,.00,.00,"LED","1","15","Array","","",0,"","","",0,,,,,,,"N","China",20,1,1,"","","","","N         ",103.50,"190808074737"
"1905-65","WINDMILL 3LT CAGE KIT-STN","Windmill","QRW","Active",0,336.00,112.00,112.00,"Modern Farmhouse","Light Kit","","","STN","Satin Nickel ",5.50,14.00,.00,.00,.00,.00,9.75,16.25,16.25,7.10,"N","N","N","N","N","N","Damp","","","","","","",,"","",,"","","",,,,,,,,"LED","3","6","Medium","","",0,"","","",0,,,,,,,"Y","China",2,1,0,"N         ","N         ","N         ","N         ","N         ",224.00,"190808118349"
