key,answer_index,old,new
amount,1,amount,flock
weekends,2,weekends,stay
own,4,own,very own
they,5,they,you
pay,6,pay,fee
the,8,the,every
may,10,may,be permitted
if,13,if,supposing that
with,15,with,for
can,16,can,bucket
available,17,available,achievable
spooky,18,spooky,ominous
It's,19,It's,they
Fall,20,Fall,slip
up,21,up,at the top
small,22,small,petty
find,23,find,bargain
places,25,places,venue
Wine,1,Wine,liquor
Do,2,Do,work
of,3,of,consisting of
of,4,of,away from
Do,5,Do,finish
A,6,A,one
the,7,the,every
Digital,8,Digital,programmed
gifts,9,gifts,value
A,10,A,an
for,11,for,now
Pick,12,Pick,pride
A,13,A,one
to,14,to,toward
Coffee,15,Coffee,battery acid
Cleaning,16,Cleaning,shampooing
Her,17,Her,hir
quality,18,quality,individuality
I,20,I,ze
they,21,they,we
facilitate,22,facilitate,ease
Polarized,23,Polarized,poles apart
gives,24,gives,parcel out
get?,25,get?,clean up
Available,1,Available,purchasable
to,2,to,into
statement,3,statement,aside
arts,4,arts,philosophy
that,5,that,a particular
with,6,with,near
picture,7,picture,description
Planner,8,Planner,creator
Home,9,Home,central
that,10,that,one
online,11,online,on stream
number,12,number,folio
Adobe,13,Adobe,brick
by,14,by,to one side
home,15,home,central
room,16,room,area
to,17,to,through
Home,18,Home,national
PARTNERS,20,PARTNERS,party
The,21,The,every
Home,22,Home,native
original,23,original,aboriginal
Create,24,Create,forge
Home,25,Home,central
Compact,1,Compact,thick
of,2,of,proceeding from
a,3,a,one
Umbrella,4,Umbrella,sunshade
chance,5,chance,adventitious
classic,6,classic,prototypal
the,7,the,every
an,8,an,one
Peace,9,Peace,cessation
spaces,10,spaces,infinity
Evergreen,11,Evergreen,pine
of,12,of,appertaining to
want,13,want,wish
Devil's,14,Devil's,the dickens
limit,15,limit,curb
is,16,is,prevail
growth,17,growth,boost
plant,18,plant,flower
specialized,19,specialized,specially designed
Plants,20,Plants,vegetation
light,21,light,lustrous
in,22,in,contemporary
a,23,a,an
between,24,between,halfway
of,25,of,epithetical
Sea,1,Sea,main
Royal,2,Royal,resplendent
been,3,been,obtain
Bright,4,Bright,burning
colors,5,colors,badge
with,6,with,for
Light,7,Light,polished
is,8,is,stay
and,9,and,as a consequence
is,10,is,have place
for,11,for,inasmuch as
have,12,have,take
warm,13,warm,toasty
and,14,and,together with
gray,15,gray,powder
of,16,of,attributed to
quiet,17,quiet,secretive
thoughts,18,thoughts,being
are,19,are,survive
your,20,your,hir
Rose,21,Rose,red
best,23,best,ace
executive,24,executive,controlling
But,25,But,although
a,1,a,an
Feel,2,Feel,quality
an,3,an,one
comes,4,comes,arrive
statement,5,statement,presentment
shade,6,shade,coolness
our,7,our,its
favored,8,favored,lucky
WHITE,9,WHITE,silver
the,10,the,every
and,11,and,as well as
Royal,12,Royal,renowned
Pale,13,Pale,deathlike
to,14,to,through
Urbane,15,Urbane,suave
yet,16,yet,up to now
Black,17,Black,coal-black
transparent,18,transparent,pellucid
combination,19,combination,synthesis
of,20,of,attributed to
blue,21,blue,beryl
Home,23,Home,central
Pastel,24,Pastel,light
this,25,this,here
Least,1,Least,feeblest
the,2,the,every
Fresh,3,Fresh,up-to-date
Your,4,Your,his
paint,5,paint,varnish
you,6,you,they
be,7,be,breathe
warm,8,warm,sweltering
of,9,of,as regards
and,10,and,as well as
Let,11,Let,certify
into,12,into,toward
it,13,it,he
to,14,to,directed toward
good,15,good,super-excellent
Embrace,16,Embrace,take in arms
biggest,17,biggest,largest
take,18,take,proceeds
and,19,and,as well as
An,20,An,one
you,21,you,they
the,22,the,every
a,23,a,an
the,24,the,every
of,25,of,regarding
Stainless,1,Stainless,unsoiled
of,2,of,appertaining to
gifts,3,gifts,worth
Shower,4,Shower,cloudburst
to,5,to,through
Elephant,6,Elephant,mammoth
around,7,around,over
white,8,white,doughy
Mini,9,Mini,little
an,10,an,one
wrapped,11,wrapped,protected
the,12,the,every
gift,13,gift,provision
was,14,was,obtain
exchanged,15,exchanged,returned
when,16,when,just after
with,18,with,beside
used,19,used,passed down
a,20,a,an
Tree,21,Tree,seedling
a,22,a,one
the,23,the,every
gift,24,gift,pittance
Zoom,25,Zoom,flash
nothing,1,nothing,diddly
powder,2,powder,film
as,3,as,during the time that
none,4,none,no one at all
and,5,and,as well as
mainly,6,mainly,mostly
or,7,or,or but
noted,8,noted,conspicuous
Chicago,9,Chicago,Chi-town
many,10,many,multifarious
definition,11,definition,delimitation
these,13,these,the above-mentioned
things,14,things,possessions
contains,15,contains,have capacity for
became,16,became,ripen into
to,17,to,facing
United,18,United,banded
you,20,you,they
in,21,in,new
as,22,as,in the process of
main,23,main,stellar
making,25,making,manufacturing
with,2,with,beside
under,3,under,on the bottom
Interesting,4,Interesting,magnetic
any,5,any,all
all,6,all,outright
way,7,way,outline
if,8,if,in case that
as,9,as,just as
a,10,a,one
kitchen,11,kitchen,cuisine
becoming,12,becoming,enhancing
larger,13,larger,bulkier
and,14,and,furthermore
all-in,15,all-in,sold
of,16,of,consisting of
a,17,a,an
choose,18,choose,wish for
in,19,in,swanky
for,20,for,being
and,21,and,together with
to,22,to,via
on,23,on,on top of
a,24,a,one
how,25,how,wherewith
Manor,1,Manor,castle
for,2,for,whereas
the,3,the,every
is,4,is,last
come,5,come,happen
many,6,many,bountiful
sell,7,sell,market
to,8,to,into
of,9,of,characterized by
cover,10,cover,umbrella
put,11,put,insert
the,12,the,every
They,13,They,we
can,14,can,gutbucket
run,15,run,trot
the,16,the,every
can,17,can,canister
tailored,18,tailored,sewn
but,19,but,though
should,20,should,experience
between,21,between,in the thick of
of,22,of,regarding
an,23,an,one
of,24,of,belonging to
Be,25,Be,inhabit
resilient,1,resilient,volatile
stair,3,stair,stage
carpet,5,carpet,runner
usually,6,usually,habitually
and,7,and,as a consequence
about,8,about,round
carpet,9,carpet,rug
carpet,10,carpet,rug
difficult,11,difficult,not easy
If,12,If,on the assumption that
carpet,13,carpet,carpeting
stairs,14,stairs,escalator
around,15,around,all over
and,18,and,furthermore
has,19,has,get
happy,20,happy,lively
best,21,best,capital
household,22,household,domiciliary
a,23,a,one
if,24,if,on the occasion that
find,25,find,gem
even,1,even,unwavering
will,2,will,wishes
They,3,They,you
will,4,will,heart's desire
While,5,While,during
never,6,never,not at all
the,7,the,every
there,8,there,au fait
your,9,your,its
to,10,to,via
just,11,just,unbiased
there,12,there,practiced
For,13,For,now
auspicious,14,auspicious,timely
gift?,15,gift?,relief
housewarming,16,housewarming,at-home
traditionally,17,traditionally,wontedly
experience,18,experience,reality
flavor,19,flavor,bitterness
at,20,at,situated at
most,21,most,highest
life,22,life,energy
other,23,other,spare
Safety,24,Safety,shelter
things,25,things,chattels
From,1,From,taken away
gratitude,2,gratitude,praise
deep,3,deep,low
money,4,money,pesos
appreciate,5,appreciate,freak out on
On,6,On,close to
they,7,they,we
penny,8,penny,hill of beans
value,9,value,cost
bake,10,bake,scorch
Your,11,Your,their
Write,12,Write,address
to,13,to,facing
Movie,14,Movie,picture
Concentrated,15,Concentrated,entire
With,16,With,including
Gratitude,17,Gratitude,obligation
result,18,result,event
a,19,a,one
endowment;,20,endowment;,benefit
Designated,21,Designated,appropriated
The,22,The,every
the,23,the,every
Please,24,Please,satisfy
thank,25,thank,give thanks
often,1,often,many a time
during,2,during,throughout
the,3,the,every
a,4,a,one
little,5,little,slight
As,6,As,in the process of
over,7,over,closed
if,8,if,with the condition that
little,9,little,not big
elves,10,elves,fairyfolk
essentially,11,essentially,primarily
peaking,12,peaking,be at height
houses,13,houses,edifice
a,14,a,one
after,15,after,postliminary
beard,16,beard,brush
mythological,18,mythological,made-up
usually,19,usually,consistently
you,20,you,they
is,21,is,hold
mix,22,mix,coalesce
of,23,of,consisting of
to,24,to,into
essentially,25,essentially,truly
Witch's,1,Witch's,necromancer
this,2,this,the present
Light-Up,3,Light-Up,buff up
Oranges,4,Oranges,coral
counterbalance,5,counterbalance,cancel
Hair,6,Hair,split ends
My,7,My,zir
Fun,8,Fun,diverting
cut,9,cut,stroke
your,10,your,her
Sunny,11,Sunny,pleasant
Pumpkin,12,Pumpkin,pepo
surprise,13,surprise,wonderment
Plush,14,Plush,red-carpet
Foam,15,Foam,lather
Chain,16,Chain,continuity
socks,17,socks,slap
Witches',18,Witches',sorcerer
at,19,at,placed at
a,20,a,an
Or,21,Or,either
your,22,your,their
chocolates,23,chocolates,sugarplum
candies,24,candies,confit
with,25,with,upon
regulating,1,regulating,supervising
of,2,of,out of
LED,3,LED,superintended
don't,4,don't,ban
or,5,or,or else
lamp,6,lamp,kerosene lamp
distance,7,distance,far piece
about,8,about,in reverse
second,9,second,succeeding
in,10,in,smart
light,11,light,radiant
light,13,light,well-lit
or,14,or,in other words
try,15,try,shot
If,16,If,on the occasion that
light,17,light,shiny
for,18,for,whereas
sessions,19,sessions,meet
your,20,your,our
during,21,during,mid
is,22,is,remain
can,23,can,vessel
the,24,the,every
other,25,other,else
large,1,large,tidy
the,2,the,every
the,3,the,every
by,4,by,at hand
entertaining,5,entertaining,funny
the,6,the,every
called,7,called,labeled
younger,9,younger,pubescent
of,10,of,in reference to
living,11,living,breathing
reason,12,reason,intellect
beautiful,13,beautiful,lovely
living,14,living,alert
In,15,In,with it
rooms,16,rooms,apartment
gathering,17,gathering,crush
to,18,to,facing
the,19,the,every
of,20,of,pertaining to
recliners,21,recliners,Morris chair
the,22,the,every
in,23,in,current
a,24,a,an
room,25,room,sweep
travel,1,travel,commutation
stunning,2,stunning,devastating
you,3,you,they
Rubber,4,Rubber,lively
their,5,their,zir
the,6,the,every
plant,7,plant,cutting
somewhat,8,somewhat,a little
like,9,like,comparable
snake,10,snake,serpent
for,11,for,inasmuch as
manages,12,manages,guide
lights,13,lights,phosphorescence
Snake,15,Snake,vermin
a,16,a,one
Cast,17,Cast,slinging
Tree,18,Tree,seedling
highly,19,highly,parlous
and,20,and,also
Officially,21,Officially,correctly
candle,22,candle,rushlight
Snake,23,Snake,serpent
ease,25,ease,relaxation
is,1,is,have being
and,2,and,also
of,3,of,like
on,4,on,above
ceramic,5,ceramic,tiles
A,6,A,an
will,8,will,decision
wall,9,wall,parapet
Smaller,10,Smaller,petite
suffers,11,suffers,be impaired
is,12,is,be alive
tile,13,tile,pantile
is,14,is,move
