url,title,best_answer_1,best_answer_2,best_answer_3
https://stackoverflow.com/questions/3179672/mock-objects-setup-method-test-driven-development,unit testing - Mock objects - Setup method - Test Driven Development,"b'<p>The default behaviour of a Moq <code>Mock</code> object is to stub all methods and properties. This means that a call to that method/property with any parameters will not fail and will return a default value for the particular return type.</p>\n<p>You call <code>Setup</code> method for any or all of the following reasons:</p>\n<ul>\n<li>You want to restrict the input values to the method.</li>\n</ul>\n<pre><code>public interface ICalculator {\n  int Sum(int val1, val2);\n}\n\nvar mock = new Mock&lt;ICalculator&gt;();\nmock.Setup(m=&gt;m.Sum(\n  It.IsAny&lt;int&gt;(), //Any value\n  3                //value of 3\n));\n</code></pre>\n<p>The above setup will match a call to method <code>Sum</code> with any value for <code>val1</code> and <code>val2</code> value of 3.</p>\n<ul>\n<li>You want to return a specific value. Continuing with <code>ICalculator</code> example, the following setup will return a value of 10 regardless of the input parameters:</li>\n</ul>\n<pre><code>var mock = new Mock&lt;ICalculator&gt;();\nmock.Setup(m=&gt;m.Sum(\n  It.IsAny&lt;int&gt;(), //Any value\n  It.IsAny&lt;int&gt;()  //Any value\n)).Returns(10);\n</code></pre>\n<ul>\n<li>You want to use <code>Mock&lt;T&gt;.VerifyAll()</code> after you setups to verify that all previous setups have been called (once).</li>\n</ul>\n<pre><code>var mock = new Mock&lt;ICalculator&gt;();\nmock.Setup(m=&gt;m.Sum(\n  7, //value of 7\n  3                //value of 3\n));\n\nmock.Setup(m=&gt;m.Sum(\n  5, //value of 5\n  3                //value of 3\n));\n\nmock.VerifyAll();    \n</code></pre>\n<p>The above code verifies that <code>Sum</code> is called twice. Once with <code>(7,3)</code> and once with <code>(5,3)</code>.</p>'","b'<p>Setup method is used to set expectations on the mock object\nFor example:</p>\n<pre><code>mock.Setup(foo =&gt; foo.DoSomething(ping)).Returns(true);\n</code></pre>\n<p>Here you are setting the <code>DoSomething</code> method on mock object. You are saying, when the parameter is ping, the method returns true.</p>\n<p>Now this object can further act as a mock or a stub depending on your usage. If you want to use it in state based testing, it can act as a stub. If you want to use it in behavior based testing, it can act as a mock. In behavior testing, you will call the verify method on the mock object to assert that the method was called with ping parameter</p>\n<p>Further refer these links:</p>\n<p><a href=http://martinfowler.com/articles/mocksArentStubs.html rel=noreferrer>http://martinfowler.com/articles/mocksArentStubs.html</a></p>\n<p><a href=http://code.google.com/p/moq/wiki/QuickStart rel=noreferrer>http://code.google.com/p/moq/wiki/QuickStart</a></p>'",
https://stackoverflow.com/questions/11443857/shortcut-to-comment-out-a-block-of-code-with-sublime-text,sublimetext - Shortcut to comment out a block of code with sublime text,"b'<p>The shortcut to comment out <em>or</em> uncomment the selected text <em>or</em> current line:</p>\n<ul>\n<li>Windows: <kbd>Ctrl</kbd>+<kbd>/</kbd></li>\n<li>Mac: <kbd>Command \xe2\x8c\x98</kbd>+<kbd>/</kbd></li>\n<li>Linux: <kbd>Ctrl</kbd>+<kbd>Shift</kbd>+<kbd>/</kbd></li>\n</ul>\n<p>Alternatively, use the menu: <code>Edit &gt; Comment</code></p>\n<p>For the block comment you may want to use:</p>\n<ul>\n<li>Windows: <kbd>Ctrl</kbd>+<kbd>Shift</kbd>+<kbd>/</kbd></li>\n<li>Mac: <kbd>Command \xe2\x8c\x98</kbd>+<kbd>Option/Alt</kbd>+<kbd>/</kbd></li>\n</ul>'","b'<p>Youre looking for the <code>toggle_comment</code> command. (Edit &gt; Comment &gt; Toggle Comment)</p>\n<p>By default, this command is mapped to:</p>\n<ul>\n<li><kbd>Ctrl</kbd>+<kbd>/</kbd> (On Windows and Linux)</li>\n<li><kbd>Command \xe2\x8c\x98</kbd>+<kbd>/</kbd> (On Mac)</li>\n</ul>\n<p>This command also takes a <code>block</code> argument, which allows you to use block comments instead of single lines (e.g. <code>/* ... */</code> as opposed to <code>// ...</code> in JavaScript). By default, the following key combinations are mapped to toggle block comments:</p>\n<ul>\n<li><kbd>Ctrl</kbd>+<kbd>Shift</kbd>+<kbd>/</kbd> (On Windows and Linux)</li>\n<li><kbd>Command \xe2\x8c\x98</kbd>+<kbd>Alt</kbd>+<kbd>/</kbd> (On Mac)</li>\n</ul>'","b'<p>With a non-US keyboard layout the default shortcut <kbd>Ctrl</kbd>+<kbd>/</kbd> (Win/Linux) does not work.</p>\n<p>I managed to change it into <kbd>Ctrl</kbd>+<kbd>1</kbd> as per <a href=https://stackoverflow.com/questions/11443857/shortcut-to-comment-out-a-block-of-code-with-sublime-text/23683570#comment54462369_11443903>Roberts comment</a> by writing </p>\n<pre><code>[\n{\n    keys: [ctrl+1],\n    command: toggle_comment,\n    args: { block: false } \n}\n,\n{   keys: [ctrl+shift+1],\n    command: toggle_comment,\n    args: { block: true }\n}\n]\n</code></pre>\n<p>to <code>Preferences -&gt; Key Bindings</code> (on the right half, the user keymap).</p>\n<p><em>Note that there should be only one set of brackets (<code>[]</code>) at the right side; if you had there something already, copy paste this between the brackets and keep only the outermost brackets.</em></p>'"
https://stackoverflow.com/questions/43704734/how-to-fix-the-error-windows-sdk-version-8-1-was-not-found/53840125,c++ - How to fix the error Windows SDK version 8.1 was not found?,"b'<p>I faced this problem too. Re-ran the <strong>Visual Studio 2017 Installer</strong>, go to <strong>Individual Components</strong> and select <code>Windows 8.1 SDK</code>. Go back to to the project &gt; Right click and Re-target to match the SDK required as shown below:<a href=https://i.stack.imgur.com/YfAYE.png rel=noreferrer><img alt=enter image description here src=https://i.stack.imgur.com/YfAYE.png/></a></p>'","b'<p>I installed the 8.1 SDKs version:</p>\n<p><a href=https://developer.microsoft.com/en-us/windows/downloads/sdk-archive rel=nofollow noreferrer>https://developer.microsoft.com/en-us/windows/downloads/sdk-archive</a></p>\n<p>It used 1GB (a little more) in the installation.</p>\n<hr/>\n<p><strong>Update October, 9 (2020).</strong> Theres a https error: the sdksetup link is <a href=https://go.microsoft.com/fwlink/p/?LinkId=323507 rel=nofollow noreferrer>https://go.microsoft.com/fwlink/p/?LinkId=323507</a></p>\n<p>Save link as should help.</p>'","b'<p>Another way (worked for 2015) is open Install/remove programs (Apps &amp; features), find Visual Studio, select Modify. In opened window, press Modify, check</p>\n<ul>\n<li><code>Languages -&gt; Visual C++ -&gt; Common tools for Visual C++</code></li>\n<li><code>Windows and web development -&gt; Tools for universal windows apps -&gt; Tools (1.4.1)\nand Windows 10 SDK ([version])</code></li>\n<li><code>Windows and web development -&gt; Tools for universal windows apps -&gt; Windows 10 SDK ([version])</code></li>\n</ul>\n<p>and install. Then right click on solution -&gt; Re-target and it will compile</p>'"
https://stackoverflow.com/questions/7816423/warning-options-bootstrap-class-path-not-set-in-conjunction-with-source-1-5,java - warning: [options] bootstrap class path not set in conjunction with -source 1.5,"b'<p>From a <a href=https://blogs.oracle.com/darcy/new-javac-warning-for-setting-an-older-source-without-bootclasspath rel=noreferrer>blog post</a>:</p>\n<blockquote>\n<p>To use javac from JDK N to cross-compiler to an older platform version, the correct practice is to:</p>\n<ul>\n<li>Use the older -source setting.</li>\n<li>Set the bootclasspath to compile against the rt.jar (or equivalent) for the older platform. </li>\n</ul>\n<p>If the second step is not taken, javac will dutifully use the old language rules combined with new libraries, which can result in class files that do not work on the older platform since references to non-existent methods can get included. </p>\n</blockquote>'","b'<p><strong>bootclasspath usage</strong></p>\n<pre><code>javac -bootclasspath /usr/lib/jvm/java-7-oracle/jre/lib/rt.jar \\\n      -source 1.7 Main.java\n</code></pre>\n<p>On UNIX systems, locate <code>rt.jar</code> using:</p>\n<pre><code>locate -r /rt.jar$\n</code></pre>\n<p>Set <code>JAVA_HOME</code> so that <code>rt.jar</code> is located at <code>$JAVA_HOME/jre/lib/rt.jar</code>, then:</p>\n<pre><code>javac -source 1.7 -bootclasspath $JAVA_HOME/jre/lib/rt.jar Main.java\n</code></pre>\n<p>Tested on Ubuntu 14.04 for Oracle Java 7 and 8.</p>'","b'<p>Im currently running Netbeans IDE 8.0.2 with JDK 1.8 on Linux Mint 17.1 which has java -version = 1.7.0_65. So to be able to run JAR files I had to set myProject&gt;Properties&gt;Source/Binary Format: JDK 7. However when building (myProject&gt;Clean and Build) I got a similar warning: warning: [options] bootstrap class path not set in conjunction with -source 1.7. </p>\n<p>The solution was to add the Linux Mint JDK1.7 platform to the Netbeans platform list. </p>\n<p>This can be done by going to myProject&gt;Properties&gt;Libraries and clicking the Manage Platforms... button. Then in the Java Platform Manager window click Add Platform... and select: Java Standard Edition, click Next and browse to /usr/lib/jvm/java-7-openjdk-amd64 (or whatever is the location of the JDK 1.7 version). The Platform name will be set to JDK1.7. Just click Finish and youre done.</p>\n<p>You can now select the Java platform in the project properties. By selecting JDK1.7 and running Clean and Build: no more warnings. :-)</p>'"
https://stackoverflow.com/questions/12363506/what-is-the-difference-between-wcf-and-wpf/36468497,What is the difference between WCF and WPF?,"b'<p>WCF = Windows COMMUNICATION Foundation</p>\n<p>WPF = Windows PRESENTATION Foundation. </p>\n<p>WCF deals with communication (in simple terms - sending and receiving data as well as formatting and serialization involved), WPF deals with presentation (UI)</p>'","b'<p>The quick answer is: Windows Presentation Foundation (WPF) is basically a way of displaying user interface. (see <a href=http://msdn.microsoft.com/en-us/library/ms754130.aspx rel=noreferrer>this</a>) </p>\n<p>Windows Communication Foundation (WCF) is a framework for creating service oriented applications. (see <a href=http://msdn.microsoft.com/en-us/library/ms731082.aspx rel=noreferrer>this</a>)</p>\n<p>As for which one you should use, it depends on your requirement. Usually an application written in WPF, ASP.NET..etc called the WCF service to do some processing at the server-side and the service returns the result to the application that called it. </p>'","b'<p><strong>Windows Presentation Foundation (WPF)</strong></p>\n<p>Next-Generation User Experiences. The Windows Presentation Foundation, WPF, provides a unified framework for building applications and high-fidelity experiences in Windows Vista that blend application UI, documents, and media content. WPF offers developers 2D and 3D graphics support, hardware-accelerated effects, scalability to different form factors, interactive data visualization, and superior content readability.</p>\n<p><strong>Windows Communication Foundation (WCF)</strong></p>\n<p>Windows Communication Foundation (WCF) is Microsoft\xe2\x80\x99s unified programming model for building service-oriented applications. It enables developers to build secure, reliable, transacted solutions that integrate across platforms and interoperate with existing investments.</p>'"
https://stackoverflow.com/questions/50772789/how-to-fix-an-error-resize-medium-operation-for-this-format-is-not-implemented,virtual machine - How to fix an error Resize medium operation for this format is not implemented yet?,b'<p>You need to do it like this:</p>\n<ol>\n<li>VBoxManage clonehd [old.vmdk] [newVDI]</li>\n<li>VBoxManage modifyhd [VDI] --resize [60000]</li>\n<li>VBoxManage clonehd [new-VDI] [newnew-VDI] --variant Fixed</li>\n</ol>',"b'<p>Omids answer is correct.</p>\n<p>NOTE however that you can get pretty confusing not supported for this version error also in case your vdi-disk file has size 45GB on disk, but it is dynamic size disk with max size e.g. 80GB and your try to run </p>\n<pre><code>vboxmanage modifymedium vdi-disk-file-name --resize 60000\n</code></pre>\n<p>This is because you are actually trying to decrease the size, which virtualbox does not support for any format currently.</p>'","b'<p>@omid answer is correct however if you already have virtual disk in .vdi format then you can still follow the three commands plus you have to go to virtual box-&gt;VM settings-&gt;storage-&gt;click on VM.vdi</p>\n<p>On right side, you will get disk icon, just click on it and browse your new VDI that has been created after resizing(new-VDI or newnew-VDI in above case).</p>'"
https://stackoverflow.com/questions/42268180/tar-unrecognized-archive-format-error-when-trying-to-unpack-flower-photos-tgz,"python - tar: Unrecognized archive format error when trying to unpack flower_photos.tgz, TF tutorials on OSX","b'<p>try using the <code>-L</code> flag, i.e. </p>\n<pre><code>curl -OL http://download.tensorflow.org/example_../images/flower_photos.tgz\n</code></pre>\n<p>source: <a href=https://github.com/arq5x/bedtools2/issues/189 rel=noreferrer>https://github.com/arq5x/bedtools2/issues/189</a></p>'",b'<p>I solved this problem by downloading the file from safari and then copy the file to your directory. There is something wrong with the file download by command curl. Maybe you can try my method.</p>',b'<p>Apparently the new instructions on TensorFlow website run without issues</p>\n<p>I just tried the instructions posted on <a href=https://www.tensorflow.org/tutorials/image_retraining rel=nofollow noreferrer>How to Retrain Inceptions Final Layer for New Categories</a></p>\n<pre><code>curl -O http://download.tensorflow.org/example_images/flower_photos.tgz\n\ntar xzf flower_photos.tgz\n</code></pre>\n<p>It worked without any problems</p>'
https://stackoverflow.com/questions/16230959/what-does-top-in-the-hyperlink-target-do,html - What does _top in the hyperlink target do?,b'<blockquote>\n<p>target=:</p>\n</blockquote>\n<p><code>_top</code>: Opens the linked document in the full body of the window</p>\n<p><code>_blank</code>:   Opens the linked document in a new window or tab</p>\n<p><code>_self</code>:    Opens the linked document in the same frame as it was clicked (this is default)</p>\n<p><code>_parent</code>:  Opens the linked document in the parent frame</p>\n<p><code>framename</code>:    Opens the linked document in a named frame</p>\n<p><a href=http://www.w3schools.com/tags/att_a_target.asp rel=noreferrer>http://www.w3schools.com/tags/att_a_target.asp</a></p>',"b'<p>If the link is in an <code>iframe</code>, the new webpage will not be loaded in the <code>iframe</code> but instead the browser will open the page in the window itself</p>'","b'<p>Its a <a href=http://dev.w3.org/html5/markup/terminology.html#context rel=noreferrer>browsing context</a> name.</p>\n<blockquote>\n<p>A valid browsing context name or keyword is any string that is either\n  a valid browsing context name or that is an ASCII case-insensitive\n  match for one of: _blank, _self, _parent, or _top.</p>\n</blockquote>\n<p>Take a look at the matrix <a href=http://www.w3.org/TR/html5/browsers.html#valid-browsing-context-name-or-keyword rel=noreferrer>here</a>, which describes the behavior of the <code>target</code> attribute in different scenarios.</p>\n<p>The practical effect is that <code>_top</code> references the topmost window (technically <a href=http://www.w3.org/TR/html5/browsers.html#top-level-browsing-context rel=noreferrer>the top level browsing context</a>). </p>\n<p><code>&lt;a href=http://foo.com target=_top&gt;a link&lt;/a&gt;</code> tells the browser to navigate to foo.com not in its own frame, but in the topmost frame. If the current frame <em>is</em> the topmost frame, the URL will open in the same window.</p>\n<p>See also: <a href=http://www.w3.org/TR/html5/browsers.html#windows rel=noreferrer>Browsing Contexts</a> (if youre in the mood for some deep reading).</p>'"
https://stackoverflow.com/questions/4281904/error-initializer-expression-list-treated-as-compound-expression,c++ - error: initializer expression list treated as compound expression,"b'<pre><code>int login(username,password);\n{\n</code></pre>\n<p>should be</p>\n<pre><code>int login(string username,string password)\n{\n</code></pre>'","b'<p>You may want to fix function declaration </p>\n<pre><code>int login(username,password);\n</code></pre>\n<p>Should be changed to </p>\n<pre><code>int login(const string&amp; username,const string&amp; password);\n</code></pre>\n<p>Also as a style note, you may not want to declare global variable, you can limit scope of most of your variables to local scope in main.</p>'",b'<p>You have to specify the data types of username and password.</p>'
https://stackoverflow.com/questions/15033195/show-spinner-gif-during-an-http-request-in-angularjs,ajax - Show spinner GIF during an $http request in AngularJS?,"b'<p>This really depends on your specific use case, but a simple way would follow a pattern like this:</p>\n<pre class=lang-js prettyprint-override><code>.controller(MainCtrl, function ( $scope, myService ) {\n  $scope.loading = true;\n  myService.get().then( function ( response ) {\n    $scope.items = response.data;\n  }, function ( response ) {\n    // TODO: handle the error somehow\n  }).finally(function() {\n    // called no matter success or failure\n    $scope.loading = false;\n  });\n});\n</code></pre>\n<p>And then react to it in your template:</p>\n<pre class=lang-html prettyprint-override><code>&lt;div class=spinner ng-show=loading&gt;&lt;/div&gt;\n&lt;div ng-repeat=item in items&gt;{{item.name}}&lt;/div&gt;\n</code></pre>'","b'<p><strong>Here are the <s>current</s> past AngularJS incantations:</strong></p>\n<pre><code>angular.module(SharedServices, [])\n    .config(function ($httpProvider) {\n        $httpProvider.responseInterceptors.push(myHttpInterceptor);\n        var spinnerFunction = function (data, headersGetter) {\n            // todo start the spinner here\n            //alert(start spinner);\n            $(#mydiv).show();\n            return data;\n        };\n        $httpProvider.defaults.transformRequest.push(spinnerFunction);\n    })\n// register the interceptor as a service, intercepts ALL angular ajax http calls\n    .factory(myHttpInterceptor, function ($q, $window) {\n        return function (promise) {\n            return promise.then(function (response) {\n                // do something on success\n                // todo hide the spinner\n                //alert(stop spinner);\n                $(#mydiv).hide();\n                return response;\n\n            }, function (response) {\n                // do something on error\n                // todo hide the spinner\n                //alert(stop spinner);\n                $(#mydiv).hide();\n                return $q.reject(response);\n            });\n        };\n    });\n\n//regular angular initialization continued below....\nangular.module(myApp, [ myApp.directives, SharedServices]).\n//.......\n</code></pre>\n<p><strong>Here is the rest of it (HTML / CSS)....using</strong></p>\n<pre><code>$(#mydiv).show(); \n$(#mydiv).hide(); \n</code></pre>\n<p><strong>to toggle it.  NOTE: the above is used in the angular module at beginning of post</strong></p>\n<pre><code>#mydiv {  \n    position:absolute;\n    top:0;\n    left:0;\n    width:100%;\n    height:100%;\n    z-index:1000;\n    background-color:grey;\n    opacity: .8;\n }\n\n.ajax-loader {\n    position: absolute;\n    left: 50%;\n    top: 50%;\n    margin-left: -32px; /* -1 * image width / 2 */\n    margin-top: -32px;  /* -1 * image height / 2 */\n    display: block;     \n}\n\n&lt;div id=mydiv&gt;\n    &lt;img src=lib/jQuery/images/ajax-loader.gif class=ajax-loader/&gt;\n&lt;/div&gt;\n</code></pre>'","b'<p><strong>Heres a version using a <code>directive</code> and <code>ng-hide</code>.</strong></p>\n<p>This will show the loader during <strong>all</strong> calls via angulars <code>$http</code> service.</p>\n<p><strong>In the template:</strong></p>\n<p><code>&lt;div class=loader data-loading&gt;&lt;/div&gt;</code></p>\n<p><strong>directive:</strong></p>\n<pre><code>angular.module(app)\n  .directive(loading, [$http, function ($http) {\n    return {\n      restrict: A,\n      link: function (scope, element, attrs) {\n        scope.isLoading = function () {\n          return $http.pendingRequests.length &gt; 0;\n        };\n        scope.$watch(scope.isLoading, function (value) {\n          if (value) {\n            element.removeClass(ng-hide);\n          } else {\n            element.addClass(ng-hide);\n          }\n        });\n      }\n    };\n}]);\n</code></pre>\n<p>by using the <code>ng-hide</code> class on the element, you can avoid jquery.  </p>\n<hr/>\n<p><strong>Customize: add an <code>interceptor</code></strong></p>\n<p>If you create a loading-interceptor, you can show/hide the loader based on a condition.</p>\n<p><strong>directive:</strong></p>\n<pre><code>var loadingDirective = function ($rootScope) {\n  return function ($scope, element, attrs) {\n      $scope.$on(loader_show, function () {\n          return element.removeClass(ng-hide);\n      });\n      return $scope.$on(loader_hide, function () {\n          return element.addClass(ng-hide);\n      });\n  };\n};\n</code></pre>\n<p><strong>interceptor:</strong></p>\n<ul>\n<li>for example: dont show <code>spinner</code> when <code>response.background === true;</code></li>\n<li>Intercept <code>request</code> and/or <code>response</code> to set <code>$rootScope.$broadcast(loader_show);</code> or <code>$rootScope.$broadcast(loader_hide);</code></li>\n</ul>\n<p><a href=http://www.webdeveasy.com/interceptors-in-angularjs-and-useful-examples/>more info on writing an interceptor</a></p>'"
