video_url,author_id,author_nickname,author_unique,music,caption
https://v16-webapp.tiktok.com/2d1e85a94e7f92b1f2bbd3ca9e717ba5/61e9e01c/video/tos/useast2a/tos-useast2a-ve-0068c003/0c819fd818da4d03a6d6753e66e53b0e/?a=1988&br=5586&bt=2793&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3FxO2g6ZjY6NzMzNzczM0ApZzs0ZTMzNWU7NzhmZjdlO2dsam9lcjRfNW9gLS1kMTZzczE0LWExXzYvXy4uX14yXi46Yw%3D%3D&vl=&vr=,6.87797E+18,eyo wassup,pradschapate,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6956236372961266437.mp3,#anzeige Tiktok do your thing.  #ad #foryou  Who remembers ?
https://v16-webapp.tiktok.com/ad850149b2029508ceed957f64e5e747/61e9e029/video/tos/useast2a/tos-useast2a-ve-0068c002/38cc86d9be024fb4b628fa594cd24dc6/?a=1988&br=1686&bt=843&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajpxaDl1c2VneTMzMzczM0ApM2k0ZjhnZTtpN2kzaGRoM2dkMGJjcDU1MDZfLS1jMTZzczMxYjViLWExL2A0NGNfXjI6Yw%3D%3D&vl=&vr=,6.72107E+18,Kaz Sawyer,kazsawyer456,,I trapped smoke inside of a container... Do you think that the smoke will still be there tomorrow?@bangenergy @bangenergy.ceo #bangenergy  #ad
https://v16-webapp.tiktok.com/f12b8eba0a7a4c9ce2f7d02c1194a813/61e9e026/video/tos/useast2a/tos-useast2a-ve-0068c003/f900a0dc822c43ae9e7c088cd68ab94e/?a=1988&br=3292&bt=1646&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3NwZ205NHBzdzMzNzczM0ApOjg7Mzs8NDs1NzxpZWU5O2dlZy42cWJnZDRfLS00MTZzc18vMmI1NS0yM2EvL2AtXjY6Yw%3D%3D&vl=&vr=,5831967,charli d’amelio,charlidamelio,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6867875275384883974.mp3,is this real life!!!?? my fave drink is now on the menu at @dunkin. order The Charli on the Dunkin app!!! link in bio. #CharliRunsOnDunkin #ad
https://v16-webapp.tiktok.com/bb8b512ae69c3bd1c64bcdad966ce134/61e9e024/video/tos/useast2a/tos-useast2a-ve-0068c003/dfcc63a4c3c148a998b3bb172b146f19/?a=1988&br=4104&bt=2052&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzhxdzQ5b255cjMzZjczM0ApNzw1NTVmZ2U6NzY5PGk3M2cyNXNmXzYwa19fLS0yMTZzczAvNi01Ly0xMjRhYGNhNGE6Yw%3D%3D&vl=&vr=,6.86165E+16,Zach King,zachking,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/1a54737648f74189aab178ae44ef5221,Hes really chill once you get to know him #TalkToAnimals See Dolittle in theaters Jan 17 #ad
https://v16-webapp.tiktok.com/f75572b119f9110aaff18d522c88bc2c/61e9e02a/video/tos/useast2a/tos-useast2a-ve-0068c004/458a5f0651584c1cb1f95f3999c9d4c6/?a=1988&br=2274&bt=1137&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3FkbHMzdnFkdzMzaTczM0ApO2Y5OzlkPDwzNzc0NzNkZWduZ15sMDAyZGFfLS0tMTZzczQ2LTQzMmAwY2JhNDYtLTM6Yw%3D%3D&vl=&vr=,5831967,charli d’amelio,charlidamelio,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6868304177135717125.mp3,#duet with @dunkin 1..2..3 with the caramel @patreeky #charlirunsondunkin #ad
https://v16-webapp.tiktok.com/9d7824be50f3e0191276bd128545b4a2/61e9e023/video/n/v0102/87d6ae32550b4c80b9abe5079bf1e296/?a=1988&br=2270&bt=1135&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajs3eXA8ZGx4cjMzaDgzM0ApM2U2ZGY7NWVlNzc4Z2Q7PGdjbmAxbzJgXl9fLS0tLzRzczBgNTBjXmItNTYzYi5gX2I6Yw%3D%3D&vl=&vr=,6.51096E+18,blackpinkofficial,bp_tiktok,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/1655305423443969.mp3,Come #danceAwesome with us! @Samsung #GalaxyA #Ad
https://v16-webapp.tiktok.com/318e847c4c7d2894d89aaebfeed8d097/61e9e02c/video/tos/useast2a/tos-useast2a-ve-0068c002/b1f471a50efb45f9b8363a916712ac36/?a=1988&br=1684&bt=842&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2tnNzo4PDk5eTMzZDczM0ApaGc0PDg0OTtkNzw6ZWY6N2dscDVha3Nia2NfLS02MTZzc18tLl9gMTBjNi0uNjE1LjE6Yw%3D%3D&vl=&vr=,6.74846E+18,Bella Poarch,bellapoarch,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6904715600401009414.mp3,Paca is always there to hold me up @popsockets #CreateYourOwn #Popsockets #HolidayBetter #HolidaysDeals #ad
https://v16-webapp.tiktok.com/73f05f7e760f34ddf4e2ec048fe79d10/61e9e023/video/tos/useast2a/tos-useast2a-pve-0068/cd87172385da49e980529e238f07c17d/?a=1988&br=1804&bt=902&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2c0N2tvOHU4dzMzNjczM0ApMzw5NDNoOTs8NzNpOTg5OWdyNWdrLmRlaGdfLS1iMTZzc19hNTIvL2E1YS4yNTZhYS46Yw%3D%3D&vl=&vr=,5831967,charli d’amelio,charlidamelio,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6874281101389794054.mp3,join me & choreographer @brianfriedmanofficial for a live virtual jazz funk class on 10/3 @breakthefloor Studios! #charlibreaksthefloor #ad
https://v16-webapp.tiktok.com/4aba26549cf2a0aca2cefc5ea920bc5a/61e9e021/video/tos/useast2a/tos-useast2a-ve-0068c002/8a446134c8df4c5b91f857caea77b9ba/?a=1988&br=3208&bt=1604&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajt0NXdnaDU6eTMzMzczM0ApaGdnOzVpO2RoN2hpaTc0OWctcm1kLWJqLmFfLS1jMTZzc182M2JiX2BeX2FhNC4xXjQ6Yw%3D%3D&vl=&vr=,5831967,charli d’amelio,charlidamelio,,i joined the #monclerbubbleup challenge are you ready to bubble up? @moncler #moncler #ad
https://v16-webapp.tiktok.com/3c48576fd16a1c31179641ee848565e8/61e9e018/video/tos/alisg/tos-alisg-pve-0037c001/a56a4b0c6e174ef2b08cdbb75165e6e9/?a=1988&br=3038&bt=1519&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amZyeXk6bGxreTMzaDczM0ApPGhmOjZpNDtpN2dpaDtoZmctcTVjMm9zMDFfLS0zMTRzczUyYzZhLy1gMWMzL2E1LTE6Yw%3D%3D&vl=&vr=,6.82596E+18,Manuel Mercuri,mercuri_88,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6893567157976828673.mp3,Brothers 11 #mercuri_88 #iphone #perte #neiperte #foryou #foryoupage #fyp #omg #wtf #brother #rifatta #viral #humor #comedy #fun #funny #xyzbca #ad
https://v16-webapp.tiktok.com/22ca2d28b02296d4faf6bb2bf094f6ce/61e9e021/video/tos/useast2a/tos-useast2a-ve-0068c004/6b9e178f6a1949c5a4aa835c603ebd0c/?a=1988&br=3780&bt=1890&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajM1Z2dmcGo3NjMzNzczM0ApODc6ZzQ6PDs6N2dkZGhnM2dtNS8zaS9iZzBgLS1kMTZzczJhNi5gYl5eLWBhMGIvYzI6Yw%3D%3D&vl=&vr=,1.06241E+17,Q Park,qpark,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6980388200963459846.mp3,They can't handle my cakes @bangenergy @bangenergy.ceo  #BangEnergy #ad
https://v16-webapp.tiktok.com/e1fd4b22065e4f8d9a426c3ce492c11c/61e9e023/video/tos/useast2a/tos-useast2a-pve-0068/17e297c364464e8a9c2a623e49b2f09f/?a=1988&br=5560&bt=2780&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XOQ9-3Adnz7Th3zqAlXq&l=202201201620010102452450021573792C&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2VqeTY6ZnU5ODMzNzczM0ApPGQ0ZmllZztnN2dpODVmOWdmaDJscjRvMGJgLS1kMTZzczQwMTYyYDYwNi4tYDYzXmM6Yw%3D%3D&vl=&vr=,3536030,BashTheEntertainer,bashtheentertainer,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7015587600345975557.mp3,#ad When your playing #squidgame & Dj drops a Banger  @boohooman #ad #fyp  #bashtheentertainer
