name,id,depth,download_timeout,download_slot,download_latency
Cell Phones & Accessories,2335753011,1,180,www.browsenodes.com,0.043999195
Vehicles,10677470011,1,180,www.browsenodes.com,0.0329988
Tie Clips,3880921,3,180,www.browsenodes.com,0.009091139
Rings,3880891,3,180,www.browsenodes.com,0.016067028
Video Glasses,3213034011,3,180,www.browsenodes.com,0.008930445
VCRs,172669,3,180,www.browsenodes.com,0.020005703
TV-DVD Combos,578960,3,180,www.browsenodes.com,0.019969702
Games,4924899011,3,180,www.browsenodes.com,0.018018484
Rash Guards,2237741011,4,180,www.browsenodes.com,0.008980751
Athletic Socks,1044920,4,180,www.browsenodes.com,0.009000063
Women's Lifestyle,14044581,3,180,www.browsenodes.com,0.009001017
Televisions,16285961,4,180,www.browsenodes.com,0.010998726
Personal Electronics,16285951,4,180,www.browsenodes.com,0.012003899
Audio-Video Components,16285941,4,180,www.browsenodes.com,0.010025263
Women in Business,14044541,3,180,www.browsenodes.com,0.011416435
Self-Improvement,14044551,3,180,www.browsenodes.com,0.010784626
Pregnancy & Childbirth,254953011,3,180,www.browsenodes.com,0.011998892
Motherhood,14044561,3,180,www.browsenodes.com,0.008086443
OLED TVs,6463520011,4,180,www.browsenodes.com,0.0110147
Wi-Fi Dongles,13983791,4,180,www.browsenodes.com,0.011939526
Subscriptions,17596058011,4,180,www.browsenodes.com,0.009997845
Store Currency Cards,17596057011,4,180,www.browsenodes.com,0.008999586
Video Converters,280341,4,180,www.browsenodes.com,0.013007641
Sets,5888828011,5,180,www.browsenodes.com,0.009999514
Bottoms,5888827011,5,180,www.browsenodes.com,0.013020992
Westerns,6190489011,4,180,www.browsenodes.com,0.00900054
Sports,6487842011,4,180,www.browsenodes.com,0.01498723
Science Fiction,6401744011,4,180,www.browsenodes.com,0.008979321
Romantic Comedy,6487841011,4,180,www.browsenodes.com,0.020998716
New Adult & College,6487838011,4,180,www.browsenodes.com,0.010985136
Multicultural & Interracial,6487837011,4,180,www.browsenodes.com,0.009000301
Military,6487836011,4,180,www.browsenodes.com,0.010000706
LED & LCD TVs,6459737011,4,180,www.browsenodes.com,0.664591789
Wind & Rain,12643246011,5,180,www.browsenodes.com,0.625192881
Medical,17744545011,4,180,www.browsenodes.com,0.568342686
Portable DVD Players,172521,3,180,www.browsenodes.com,0.009964705
Witches & Wizards,6401743011,5,180,www.browsenodes.com,0.01001358
Werewolves & Shifters,6401742011,5,180,www.browsenodes.com,0.009979725
Vampires,6190488011,5,180,www.browsenodes.com,0.009559631
Psychics,6401740011,5,180,www.browsenodes.com,0.007999897
No Show & Liner Socks,2376200011,4,180,www.browsenodes.com,0.009001017
Slipper Socks,2376199011,4,180,www.browsenodes.com,0.008535147
Sheers,1044934,4,180,www.browsenodes.com,0.026345015
Tights,1044936,4,180,www.browsenodes.com,0.01200366
Dress & Trouser Socks,2376197011,4,180,www.browsenodes.com,0.012996912
Casual Socks,2376196011,4,180,www.browsenodes.com,0.009678841
Mystery,6487840011,5,180,www.browsenodes.com,0.039893389
Rompers,18528230011,4,180,www.browsenodes.com,0.008905649
Overalls,2514609011,4,180,www.browsenodes.com,0.019000292
Jumpsuits,18528229011,4,180,www.browsenodes.com,0.012126684
Suspense,158574011,5,180,www.browsenodes.com,0.59735918
Audio Docks,13996491,4,180,www.browsenodes.com,0.009998798
Ghosts,6401739011,5,180,www.browsenodes.com,0.0110147
Leg Warmers,2376198011,4,180,www.browsenodes.com,0.670035362
Angels,6401737011,5,180,www.browsenodes.com,0.009990454
Portable CD Players,465608,3,180,www.browsenodes.com,0.008999348
Portable & Handheld TVs,979930011,3,180,www.browsenodes.com,0.011009932
Minidisc Players,172631,3,180,www.browsenodes.com,0.009035587
Portable Line-In Speakers,9977446011,4,180,www.browsenodes.com,0.609843731
Portable Bluetooth Speakers,7073956011,4,180,www.browsenodes.com,0.670643091
Time Travel,6190487011,4,180,www.browsenodes.com,2.080017567
Weather Radios,6893245011,4,180,www.browsenodes.com,0.009999037
Answering Devices,172611,4,180,www.browsenodes.com,0.604547739
Pagers,172621,4,180,www.browsenodes.com,0.666744232
Audio Conferencing,11038701,4,180,www.browsenodes.com,0.624830723
Radio Scanners,172530,3,180,www.browsenodes.com,0.007976294
Games,4924893011,3,180,www.browsenodes.com,0.010180712
Consoles,11076561,3,180,www.browsenodes.com,0.010066271
Telephone Cords,689974011,5,180,www.browsenodes.com,0.009000063
Wireless Jack Systems,281505,5,180,www.browsenodes.com,0.009216547
Phone Cards,172622,5,180,www.browsenodes.com,0.011192322
Headsets,229193,5,180,www.browsenodes.com,0.009677887
Caller ID Displays,172612,5,180,www.browsenodes.com,0.008998156
Batteries,172608,5,180,www.browsenodes.com,0.016221285
PBX Phones & Systems,11038691,4,180,www.browsenodes.com,0.608089685
Demons & Devils,6401738011,5,180,www.browsenodes.com,1.243235826
Personal Radios,1065908,4,180,www.browsenodes.com,0.619589806
Shortwave Radios,172653,4,180,www.browsenodes.com,0.673222065
Motion Detectors,11040971,3,180,www.browsenodes.com,0.009028435
Horns & Sirens,11041181,3,180,www.browsenodes.com,0.008999586
Landline Phones,5728050011,4,180,www.browsenodes.com,1.027416229
Traditional British & Celtic Folk,625009011,3,180,www.browsenodes.com,0.587514639
Traditional Folk,625010011,3,180,www.browsenodes.com,0.6207757
Stylus Pens,10110996011,4,180,www.browsenodes.com,0.014961481
Headsets,2607927011,4,180,www.browsenodes.com,0.014001131
Hand Grips,10110990011,4,180,www.browsenodes.com,0.013122559
Cases & Storage,11076551,4,180,www.browsenodes.com,0.012097359
Video Transmission Systems,11041711,4,180,www.browsenodes.com,0.013993979
Video Multiplexers & Quads,11041691,4,180,www.browsenodes.com,0.015997171
Simulated Cameras,14241441,4,180,www.browsenodes.com,0.011999369
Trail & Game Cameras,3413551,4,180,www.browsenodes.com,0.016014338
Hidden Cameras,12909791,4,180,www.browsenodes.com,0.013962984
Dome Cameras,14241151,4,180,www.browsenodes.com,0.014920473
Surveillance Video Recorders,14241611,4,180,www.browsenodes.com,0.013003588
Surveillance NVR Kits,18685189011,4,180,www.browsenodes.com,0.012016058
Contemporary Folk,625005011,3,180,www.browsenodes.com,0.616411686
Alt-Country & Americana,624977011,3,180,www.browsenodes.com,0.616447687
Security Monitors & Displays,898402,4,180,www.browsenodes.com,0.010949135
Accessory Kits,353829011,4,180,www.browsenodes.com,0.009967327
Home Security Systems,3180341,3,180,www.browsenodes.com,0.010009289
Routers,288332011,5,180,www.browsenodes.com,0.595761776
Jewish & Yiddish Music,625007011,3,180,www.browsenodes.com,0.695333481
Biometrics,14241141,3,180,www.browsenodes.com,0.01701498
Remote Controls,14213579011,5,180,www.browsenodes.com,0.012983561
Batteries,724069011,5,180,www.browsenodes.com,0.008999109
Projector Bags & Cases,3071698011,5,180,www.browsenodes.com,0.015001774
Chargers,724063011,5,180,www.browsenodes.com,0.010001421
Adapters,724137011,5,180,www.browsenodes.com,0.015650749
Cables,724128011,5,180,www.browsenodes.com,0.01666069
Mounting Equipment,10967521,5,180,www.browsenodes.com,0.016650438
Lenses,3349881,5,180,www.browsenodes.com,0.018084049
Lamps,3349991,5,180,www.browsenodes.com,0.018058777
Microcassette Recorders,172632,3,180,www.browsenodes.com,0.017060041
Digital Voice Recorders,227758,3,180,www.browsenodes.com,0.016003132
MP3 & MP4 Players,1264866011,3,180,www.browsenodes.com,0.012006044
