Job Ad Title,Advertiser  Name,Short Description Text ,Job Ad location,Job Ad URL,Job Ad Area,Job Category,Work Type
Head of Software Engineering - Chi-X Australia - Capital Markets,Limelight People,Limelight People are supporting Chi-X Australia's growth plans and are searching for a Head of Software Engineering to join their growing business.,Sydney,https://www.seek.com.au/job/53246331?type=promoted#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Full Time
Software Engineer (Java),Equifax Australia & New Zealand,"The Software Engineer (Java) is an integral part of a cross-functional squad, responsible for design, build, test, and support of applications.",Melbourne,https://www.seek.com.au/job/53190571?type=promoted#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,CBD & Inner Suburbs,Information & Communication Technology,Full Time
Mechanical Engineering Manager,Wollongong Coal Ltd,Lead a team and Live & work locally near beautiful Wollongong and the South Coast,"Wollongong, Illawarra & South Coast",https://www.seek.com.au/job/53611703?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"Mining, Resources & Energy",Mining - Engineering & Maintenance,Full Time
Accountant,Sydney,"GramLine is offering a full-time position for a friendly, organised and hard-working team member to fill the role of management and tax accountant.",Sydney,https://www.seek.com.au/job/53611665?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Parramatta & Western Suburbs,Accounting,Full Time
Aircraft Maintenance Planner / Scheduler,Airbus Australia Pacific Limited,"Capture, analyse and forecast aircraft maintenance related data to determine optimal use of resources and task scheduling",Richmond & Hawkesbury,https://www.seek.com.au/job/53611353?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Engineering,Aerospace Engineering,Full Time
Graduate System Engineer,Cerner,"Very exciting opportunity for college graduates who studied in Computer Science, Software Engineering, Information Systems etc.",Brisbane,https://www.seek.com.au/job/53611241?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,CBD & Inner Suburbs,Engineering,Full Time
Engineering Technologist,Integrity Engineering Solutions,"Technically oriented individual with experience in mechanical, machinery and research & development required",Bunbury & South West,https://www.seek.com.au/job/53611098?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Engineering,Mechanical Engineering,Full Time
Surveyor,Resolve Surveying Services,Flexible hours available Perth Metro & South West Engineering Surveyor Graduate Surveyor,Perth,https://www.seek.com.au/job/53610895?type=standard#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,"CBD, Inner & Western Suburbs",Construction,Casual/Vacation
Senior Application Architect,Optus,This is a hugely exciting time to be joining our Application Engineering team within Group IT as a senior application architect.,Sydney,https://www.seek.com.au/job/53610817?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Ryde & Macquarie Park,Information & Communication Technology,Full Time
Digital Business Analyst,Open Colleges,"As the Digital Business Analyst, you will be responsible for defining product requirements and optimisation of our student and consumer facing product",Sydney,https://www.seek.com.au/job/53610769?type=standout#searchRequestToken=a3db1db2-93b2-47ff-944c-a6087a75ade7,Information & Communication Technology,Business/Systems Analysts,Full Time
