title,address,price,contact,url
2 bedroom apartment for sale,"Britton Street, Farringdon, London, EC1M","1,200,000",tel:020 8022 7223,https://media.onthemarket.com/properties/10906034/1366337013/composite.jpg
4 bedroom detached house for sale,"Devonshire Way, Shirley","675,000",tel:020 8022 6739,https://media.onthemarket.com/properties/10905935/1366334114/composite.jpg
5 bedroom detached house for sale,"Beechfield, Banstead","1,150,000",tel:01737 483768,https://media.onthemarket.com/properties/10904865/1366303238/composite.jpg
4 bedroom terraced house for sale,"Richmond Road, Thornton Heath","475,000",tel:020 8022 6770,https://media.onthemarket.com/properties/10904105/1366293615/composite.jpg
2 bedroom flat for sale,"Southwood Park,  Highgate,  N6","900,000",tel:020 3641 9384,https://media.onthemarket.com/properties/10904062/1366362944/composite.jpg
3 bedroom terraced house for sale,"Ambergate Street, Walworth","675,000",tel:020 8033 2458,https://media.onthemarket.com/properties/10903954/1366279158/composite.jpg
3 bedroom semi-detached house for sale,"Tugela Street, Catford","500,000",tel:020 8033 2478,https://media.onthemarket.com/properties/10903952/1366279138/composite.jpg
3 bedroom terraced house for sale,"Bewick Mews, Peckham","575,000",tel:020 8022 6911,https://media.onthemarket.com/properties/10903818/1366275550/composite.jpg
1 bedroom flat for sale,"Wharfside Point South, 4 Prestons Road, Isle Of Dogs, London, E14","325,000",tel:020 8022 7340,https://media.onthemarket.com/properties/10903327/1366263305/composite.jpg
2 bedroom property for sale,"Albert Road, London, Greater London, N22","585,000",tel:020 8022 1140,https://media.onthemarket.com/properties/10903315/1366337232/composite.jpg
4 bedroom townhouse for sale,"Waldo Close, Clapham","1,075,000",tel:020 8022 6758,https://media.onthemarket.com/properties/10903194/1366293651/composite.jpg
2 bedroom detached house for sale,"Wrythe Lane, Rosehill, Morden SM5","275,000",tel:020 8022 5142,https://media.onthemarket.com/properties/10903066/1366255520/composite.jpg
2 bedroom flat for sale,"Maida Avenue, London, W2","1,750,000",tel:020 8022 7376,https://media.onthemarket.com/properties/10903132/1366252802/composite.jpg
3 bedroom maisonette for sale,"College Road, Dulwich","790,000",tel:020 8022 7083,https://media.onthemarket.com/properties/10903107/1366251946/composite.jpg
2 bedroom flat for sale,"Bromley Road, Beckenham","390,000",tel:020 8033 2485,https://media.onthemarket.com/properties/10902974/1366265308/composite.jpg
1 bedroom flat for sale,"Collinson Walk, Borough","400,000",tel:020 8033 2456,https://media.onthemarket.com/properties/10902972/1366257823/composite.jpg
3 bedroom flat for sale,"Warrington Crescent, London, W9","2,650,000",tel:020 8022 7376,https://media.onthemarket.com/properties/8290057/1366248547/composite.jpg
3 bedroom terraced house for sale,"Hexham Road, West Norwood","800,000",tel:020 8022 6800,https://media.onthemarket.com/properties/10902858/1366245196/composite.jpg
3 bedroom terraced house for sale,"Whitby Court, Islington","700,000",tel:020 8033 2459,https://media.onthemarket.com/properties/10902857/1366245149/composite.jpg
2 bedroom flat for sale,"Courtfield Gardens, London, SW5","1,895,000",tel:020 3641 6194,https://media.onthemarket.com/properties/10902846/1366249498/composite.jpg
1 bedroom flat for sale,"Gillespie Road, Islington","325,000",tel:020 8033 2459,https://media.onthemarket.com/properties/10902600/1366226470/composite.jpg
2 bedroom flat for sale,"Cabanel Place, Kennington","895,000",tel:020 8033 2458,https://media.onthemarket.com/properties/10902599/1366226338/composite.jpg
1 bedroom flat for sale,"Wharfside Point South, 4 Prestons Road, Nr Canary Wharf, London, E14","325,000",tel:020 8022 7340,https://media.onthemarket.com/properties/10902425/1366263310/composite.jpg
