id,title,price,description
1651991534,14 MARLA PLOT PANCHKULA SECTOR-12.," 4,35,00,000","14 MARLA PLOT AVAILABLE FOR SALE IN PANCHKULA
SECTOR-12, (HARYANA)
CLEAR TITLE, CONFIRM DEAL.
GENUINE PRICE.
SOUTH EAST FACING.
DIRECT DEAL WITH OWNER.

ONLY GENUINE BUYER'S WILL INTRODUCE TO PROPERTY.

FOR MORE INFORMATION PLEASE CONTACT
OBEROI & PARTNERS PROPERTY CONSULTANT"
1613559973,20FLATS 6.5Cr AT Patancheru," 6,50,00,000","Flats for sale at patancheru..
1400flats 
G+20floors
Gated community
High way facing venture.
Low investment high returns..
Within a short period..
More details call me"
1521722729,"Green Valley  gated pack socitey ,haridwar"," 15,50,000","We are Shivam Developer & we are dealing in all type of property in Haridwar.
Recently we have launched green valley a residential property in Suman nagar haridwar & currently we have 3 bhk independent house for sale.
Property connected to sidcul highway, school, colleges, hospitals, are available near to property.
 Specifications :- 
1.	Loan facilities also available.
2.	 Only 400m away from Ganga beach.
3.	 Water level is only b/w 25ft to 50ft.
4.	Awesome Mountain view.
5.	 Roads 30ft,25ft,20ft.
6.	 Both Sides Outer Govt. Road 30ft.
7.	 Colony packed from both sides security gate.
8.	Permanent Security Guard Room.
9.	 Mandir & Shopping Complex.
10.	 No future disputes in our colony ."
1653131205,3bhk duplex for sale in Kolar road bhopal," 54,00,000","3bhk duplex for sale near bawaria kalan covered campus colony cctv camera ,garden,park,security,  and prime Danish kunj near test of india Kolar road bhopal rathore property dealer please call me"
1649842171,3 BHK in Keshav nagar at 73 lacs all incl," 72,00,000","Fastest selling project in East pune 
Location keshav Nagar 
20+ Amenities 
5 Mins from Kharadi via upcoming bridge 
3 BHK 970 sqft 73 lacs 
Garden facing on higher floor"
1648694419,2BHK in Dadar east," 75,00,000","About Prathmesh Tower

Prathmesh Tower is a residential project in Dadar East, Mumbai. Prathmesh Apartment, as per the area plan, are in the size of 1995 sq.ft.. The property is Ready to Move. 

Prathmesh Tower is equipped with various resident-centric amenities that includes Lift, Rainwater Harvesting, Power Backup. Enjoy a class-apart lifestyle at Prathmesh Tower.

Bank finance is approved by major financial institutions like PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.

Dadar East is a prime area, with many attractions work and recreational options just a drive away."
1648694388,1 bhk available in turbhe," 10,50,000","Get this 1 BHK for sale in Turbhe Village now, you save lakhs on brokerage! This home is over 375 sqft. & even comes with ample parking facility for bike. This North facing home is on the 2nd floor. With amenities such as Wi-Fi access this home offers you a lot of convenience. As this home comes with fire safety & more such amenities, living here would make life more pleasant."
1648693774,3 bhk available in Grant road west," 45,00,000","Venus CHS is a residential project located in Mumbai. It is a Co-operative Housing Society. It offers spacious and skillfully designed 3 BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents. The site is in close proximity to various civic utilities. LOCATION HIGHLIGHTS Worli is the prime locality in Mumbai, Maharashtra, and is a part of the Southermost Mumbai Region. The locality brings in great location advantages, and this is why it is the current favorite of homebuyers looking for affordable homes. Mumbai, the financial and entertainment hub of India, has been tagged for being the city of dreams. The fact that it was rated the costliest city to have a house in does not stop the nation's property buyers from investing here making it the top localities for investments."
1648693225,1BHK in Dahisar east," 24,00,000","1 BHK Apartment available for sale in Labh Darshan, Near Subway, Dahisar East, Dahisar East, Mumbai. Apartment has 1 bedroom, bathroom. Building has 4th floors."
1648692994,4 bhk available in vile parle east," 61,00,000","Adobe Heights is a residential development launched by Siddhi Enclave. This project provides a vast range of amenities including . Prominent suburbs of Mumbai are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers."
